id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
42328,DPP,Wiring of Double Power Point ,Each,,,,,,51,TL Electrical,,
42329,WEF,Wiring of Exhaust Fan including Supply Fan 250mm,Each,,,,,,,,,
42330,WLP,Wiring of Light Point,Each,,,,,,,,,
42331,ILF,Install Light Fittings,Each,,,,,,,,,
42332,TP,Telephone point,Each,,,,,,,,,
42333,SPP,Wiring of Single Power Point,Each,,,,,,50,TL Electrical,,
42334,ODPP,Waterproof double power point,Each,,,,,,69,TL Electrical,,
42335,SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,Each,,,,,,,,,
42336,WTV,Wiring of TV point,Each,,,,,,58,TL Electrical,,
42337,WTWS,Wiring of Two way switch,Each,,,,,,,,,
42338,SITEWKS,Rock retaining as Quoted,POA,,,,,,1,,,
42339,SITEWKS1,Site cut as Directed,hours,,,,,,110,,,Site Cut
42340,CCMIN,Cutting min Charge,Each,,,,,,170,Logan Concrete Sawing and Drilling,,
42341,POOLAPOQUO,Pool as per Quote,Each,,,,,,1,POOL,,
42342,CRUSHERDUST,Crusher Dust,M3,,,,,,333.83,Jopa Queensland,,
42343,DRI,Document Registration New Dwelling - Ipswich,Each,,,,,,120,Fluid Building Approvals,,
42344,DRCB,Document Registration Commercial - Brisbane,Each,,,,,,137,Fluid Building Approvals,,
42345,PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),Each,,,,,,74,Fluid Building Approvals,,
42346,BPBDELV,Brisbane post and beams delv,Each,,,,,,35,Harvey's Mechanical & Welding Services Pty Ltd,,
42347,PSTSTIR,Post stirups as quoted,Each,,,,,,45,Harvey's Mechanical & Welding Services Pty Ltd,,
42348,SITEWELD,Site work as directed,Each,,,,,,82,Harvey's Mechanical & Welding Services Pty Ltd,,
42349,BSACONTRAT,BSA One Pack Contract Kit,Each,,,,,,10,PRELIM,,
42350,HQ,Hire equipment as requested,Each,,,,,,1,Dinkum Dunnies,,
42351,WS99,Wet Seal Square 900 X 900,Each,,,,,,250,Wayke Waterproofing. Ware,,
42352,QHOP,Quote for Hang-on Platform,Each,,,,,,1,SCAFFOLD,,Scaffolding & Saftey
42353,QP111,Quad Pine 11 X 11,lm,,,,,,1.0818,Pre Hung Doors (PHD),,
42354,QP1818,Quad Pine 18 X 18 Primed LOSP H3,lm,,,,,,1.1909,Pre Hung Doors (PHD),,
42355,SDP4211,Square Dressed Pine 42 X 11,lm,,,,,,1.0636,Pre Hung Doors (PHD),,
42356,SDP4218,Square Dressed Pine 42 X 18,lm,,,,,,1.4,Pre Hung Doors (PHD),,
42357,SDP6618,Square Dressed Pine 66 X 18,lm,,,,,,2.7091,Pre Hung Doors (PHD),,
42358,SDP9318,Square Dressed Pine 93 X 18,lm,,,,,,3.23,Pre Hung Doors (PHD),,
42359,MGP107035,Pine 70 X 35 MGP10,lm,,,,,,1.8636,TIMBER FRAME,,
42360,MGP109035,Pine 90 X 35 MGP10,lm,,,,,,2.0455,TIMBER FRAME,,
42361,MGP1019035,Pine 190 X 35 MGP10,lm,,,,,,5.6545,TIMBER FRAME,,
42362,MGP127035,Pine 70 X 35 MGP12,lm,,,,,,2.4636,TIMBER FRAME,,
42363,DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,lm,,,,,,4.2182,TIMBER FRAME,,
42364,DECKM9019,Merbau 90 X 19 Decking Material,lm,,,,,,3.6636,TIMBER FRAME,,
42365,CUSHSTOP,Door Stop Cushion,Each,,,,,,1.0545,Pre Hung Doors (PHD),,
42366,WHR18,Wardrobe Hanging Rod 1800 X 19mm,Each,,,,,,8.3727,Pre Hung Doors (PHD),,
42367,WHR36,Wardrobe Hanging Rod 3600 X 19mm,Each,,,,,,16.1,Pre Hung Doors (PHD),,
42368,WHRE,Wardrobe Hanging Rod Ends,pairs,,,,,,2.7545,Pre Hung Doors (PHD),,
42369,WHRC,Wardrobe Hanging Rod Centres,Each,,,,,,1.5,Pre Hung Doors (PHD),,
42370,BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,Each,,,,,,1.4364,Bunnings,,
42371,BNHG12130,Bolt & Nut Hex Galv M12 X 130 each,Each,,,,,,1.3364,Bunnings,,
42372,BNHG12140,Bolt & Nut Hex Galv M12 X 140 each,Each,,,,,,1.1636,Bunnings,,
42373,BNHG12150,Bolt & Nut Hex Galv M12 X 150 each,Each,,,,,,1.4636,Bunnings,,
42374,BCG12100,Bolt & Nut Cup Galv M12 X 100 each,Each,,,,,,1,Bunnings,,
42375,BCG12130,Bolt & Nut Cup Galv M12 X 130 each,Each,,,,,,1.1182,Bunnings,,
42376,BCG12140,Bolt & Nut Cup Galv M12 X 140 each,Each,,,,,,1.1727,Bunnings,,
42377,BCG12150,Bolt & Nut Cup Galv M12 X 150 each,Each,,,,,,1.2273,Bunnings,,
42378,480PBS,Gainsborough 60mm Backset Tubular Latch,Each,,,,,,3.6273,Pre Hung Doors (PHD),,
42379,480BCS,Gainsborough 60mm Backset Tubular Latch,Each,,,,,,3.6273,Pre Hung Doors (PHD),,
42380,L12100,Lintel Ingal 100 X 100 - 1200mm,Each,,,,,,32.709,Bunnings,,
42381,L15100,Lintel Ingal 100 X 100 - 1500mm,Each,,,,,,40.8909,Bunnings,,
42382,L18100,Lintel Ingal 100 X 100 - 1800mm,Each,,,,,,49.0545,Bunnings,,
42383,L21100,Lintel Ingal 100 X 100 - 2100mm,Each,,,,,,72.7909,Bunnings,,
42384,L24100,Lintel Ingal 100 X 100 - 2400mm,Each,,,,,,65.4364,Bunnings,,
42385,L21150,Lintel Ingal 150 X 100 - 2100mm,Each,,,,,,93.9636,Bunnings,,
42386,L24150,Lintel Ingal 150 X 100 - 2400mm,Each,,,,,,107.3909,Bunnings,,
42387,L27150,Lintel Ingal 150 X 100 - 2700mm,Each,,,,,,120.8,Bunnings,,
42388,L30150,Lintel Ingal 150 X 100 - 3000mm,Each,,,,,,134.2364,Bunnings,,
42389,L33150,Lintel Ingal 150 X 100 - 3300mm,Each,,,,,,147.6545,Bunnings,,
42390,L36150,Lintel Ingal 150 X 100 - 3600mm,Each,,,,,,161.0727,Bunnings,,
42391,LF85900,Lintel Ingal Flat 85 X 900mm,Each,,,,,,19.5818,Bunnings,,
42392,LF851200,Lintel Ingal Flat 85 X 1200mm,Each,,,,,,26.0909,Bunnings,,
42393,FLRRD36922,Flooring GP Red Tongue 3600 X 900 X 22,shts,,,,,,50,TIMBER FRAME,,
42394,PD420,Honeycomb Core 2040 X 420 X 35,Each,325,Honeycomb - Corinthian,,,,30,Pre Hung Doors (PHD),Corinthian - 2100 420 Int Door,
42395,PD520,Honeycomb Core 2040 X 520 X 35,Each,325,Honeycomb - Corinthian,,,,30,Pre Hung Doors (PHD),Corinthian - 2100 520 Int Door,
42396,PD620,Honeycomb Core 2040 X 620 X 35,Each,325,Honeycomb - Corinthian,,,,30,Pre Hung Doors (PHD),Corinthian - 2100 620 Int Door,
42397,PD920,Honeycomb Core 2040 X 920 X 35,Each,325,Honeycomb - Corinthian,,,,33.6,Pre Hung Doors (PHD),Corinthian - 2100 920 Int Door,
42398,NO.7GC,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Clear,Each,,,,,,190,Pre Hung Doors (PHD),,
42399,NO.7GO,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Obscure,Each,,,,,,193,Pre Hung Doors (PHD),,
42400,PD720,Honeycomb Core 2040 X 720 X 35,Each,325,Honeycomb - Corinthian,,,,38.5,Pre Hung Doors (PHD),Corinthian - 2100 720 Int Door,
42401,PD820,Honeycomb Core 2040 X 820 X 35,Each,325,Honeycomb - Corinthian,,,,30,Pre Hung Doors (PHD),Corinthian - 2100 820 Int Door,
42402,PBR,Painting to Ballustrade as required,Sqm,,,,,,40,PAINTER,,Paint
42403,PEB,Painting required to external Brickwork,Sqm,,,,,,10,PAINTER,,Paint
42404,PH,Internal Walls upto 2.4 House 3 Coates,Sqm,,,,,,32,MI Painting and Decorating Services Marko Lvanovic,,Paint
42405,KITCHQUOTE,Kitchen as per Quote,Each,,,,,,1,Tekna Admin,,
42406,PTB,Painter to Gable Timber Battens,lm,,,,,,2.5,PAINTER,,Paint
42407,CWINS,Contract Works Insurance,Each,,,,,,1,Tekna Insurance,,Insurance
42408,ROOFTILE,Roof tiles as per quote,Each,,,,,,1,Joii Roofing,,Main Floors
42409,CONBLEND,Concrete Blend,M3,,,,,,52,LANDSCAPING,,
42410,PEAGRAVEL,5mm Pea Gravel,M3,,,,,,50,LANDSCAPING,,Gravel to side of house
42411,TILERALIANG,"Aluminium Angle Per House Mill Finish on Floor Bright Silver to Shower,Bath Hobs NA Niches",Each,,,,,,120,Alex Wang Pty Ltd,,
42412,TILERQUOTE,Tiling as Quoted,Each,,,,,,1,Alex Wang Pty Ltd,,
42413,TRW,Std Rate Walls,Sqm,,,,,,60,Alex Wang Pty Ltd,,
42414,TRWF,Std Rate Wet Floor Tiling up to 450mm Square or 600mm x 300mm,Sqm,,,,,,54,Alex Wang Pty Ltd,,
42415,STAMPDUTY,Stamp Duty,Each,,,,,,1,LEGAL,,
42416,WCFRESHWATER,Fresh water flush chemical toilet,weeks,,,,,,47.5,Dinkum Dunnies,,
42417,RENCEMLOW,Solid cement render,Sqm,,,,,,37,RENDER,,
42418,20MPA20100,N20 Mpa 20/100,M3,,,,,,264,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42419,25MPA20100,N25 Mpa 20/100,M3,,,,,,283,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42420,32MPA20100,N32 Mpa 20/100,M3,,,,,,276,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42421,40MPA2080,N40 Mpa 20/80,M3,,,,,,290,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42422,PLSL,Portable Long Service Leave,/1000,,,,,,1,PLSL,,Insurance
42423,FENPOOL,Pool Fencing as Quoted,Each,,,,,,1,POOL,,Fence
42424,SIGNSBLD,Builders Signs,Each,,,,,,1,PRELIM,,
42425,DELVPRE,Delivery charge,Each,,,,,,45.4545,Bunnings,,
42426,FIXOUTQUOTE,Fixout as per quote,Each,,,,,,1,Pre Hung Doors (PHD),,
42427,BATTR1.5W,Supply and install R1.5 Wall Batts,Sqm,,,,,,5.44,Austral Insulation,,
42428,BATTR2.5W,Supply and install R2.5 Wall Batts,Sqm,,,,,,14.47,Austral Insulation,,
42429,PRELIMAGRRE,Preliminary Agreement Packs,Each,,,,,,77,PRELIM,,
42430,RESBUILDCON,Residential Building Contracts,Each,,,,,,9,PRELIM,,
42431,RESBUILDSPEC,Residential Building Spec,Each,,,,,,25,PRELIM,,
42432,SEABCCBUILDLOG,Logan City Council Building Search - Logan,Each,,,,,,59,SEARCHES,,
42433,SEABCCPLANLOG,Logan City Council Town Planning - Logan,Each,,,,,,59,SEARCHES,,
42434,SEABCCRATESLOG,Logan City Council Rates Search - Logan,Each,,,,,,59,SEARCHES,,
42435,SEABCCBUILD,Brisbane City Council Building Search - Brisbane,Each,,,,,,40,SEARCHES,,
42436,SEABCCRATES,Brisbane City Council Rates Search - Brisbane,Each,,,,,,40,SEARCHES,,
42437,SEABCCPLAN,Brisbane City Council Rates Planning - Brisbane,Each,,,,,,40,SEARCHES,,
42438,SJGPURCH,Professional costs purchase,Each,,,,,,500,LEGAL,,
42439,SJGSALE,Professional costs-sale,Each,,,,,,1,LEGAL,,
42440,SJGSETTLE,Settlement notice,Each,,,,,,1,LEGAL,,
42441,FDG,Double gate set with hinges,Each,,,,,,625,Joii Landscaping,,Fence
42442,FSG,Single gate with hinges,Each,,,,,,258.5,Joii Landscaping,,Fence
42443,S20MPA10150,S20 Mpa 10/150 Coremasta,M3,,,,,,190,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42444,S20MPA10150BF,S20 Mpa 10/150 Blockfill,M3,,,,,,141,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42445,CARPETQUOTED,Carpets as per Quote,Each,,,,,,1,FLOOR COVERING,,Main Floors
42446,SKIP3MTR,3 Cubic Metre Skip,Each,,,,,,319,Tekna Site,,
42447,SKIP6MTR,6 Cubic Metre Skip,Each,,,,,,519,United Waste Services,,
42449,TRUSSQUOTE,Trusses as per quote,Each,,,,,,1,Bunnings,,
42450,CC4,4 mtres x 7 Cross cuts no more than 1m apart plus ECU,Each,,,,,,170,Logan Concrete Sawing and Drilling,,
42451,DLEC,"Exposed Concrete - (Supply, Prep, Steel, Pour)",Sqm,,,,,,80,DRIVEWAY,,Driveway
42452,DLBFC,"Broomed Finish Concrete - (Supply, Prep, Steel, Pour)",Sqm,,,,,,65,DRIVEWAY,,Driveway
42453,CONIBEX,Internal Beams over 300 in depth - extra,lm,,,,,,5,CONCRETOR,,
42454,CONPIERS,Piers for posts,Each,,,,,,7,CONCRETOR,,
42455,DRB,Document Registration - New Dwelling Brisbane,Each,,,,,,250,Fluid Building Approvals,,
42456,PIBR,Property Information CITEC - Brisbane,Each,,,,,,20,Fluid Building Approvals,,
42457,PDSSB,Plumbing & Drainage - Sewered sites (New Dwelling) - Brisbane < 500m2,Each,,,,,,433.2,Fluid Building Approvals,,
42458,WCI,Water Connection - Ipswich,Each,,,,,,680,Fluid Building Approvals,,
42459,WCB,Water Connection - Brisbane,POA,,,,,,460,Fluid Building Approvals,,
42460,RCI,Relaxation Council - Ipswich,Each,,,,,,285,Fluid Building Approvals,,
42461,RCB,Relaxation Council - Brisbane,Each,,,,,,450,Fluid Building Approvals,,
42462,RFB,Nomination of Road Frontage - Brisbane,Each,,,,,,210.7545,Fluid Building Approvals,,
42463,BOSB,Build over Sewer - Brisbane,Each,,,,,,170,Fluid Building Approvals,,
42464,BOSWB,Build over Storm Water - Brisbane,Each,,,,,,410,Fluid Building Approvals,,
42465,BOSWI,Build Over Storm Water - Ipswich,Each,,,,,,125,Fluid Building Approvals,,
42466,SEABCCBUILDRED,Redlands City Council Building Search - Redlands,Each,,,,,,58,SEARCHES,,
42467,SEABCCRATEPLANIPS,Redlands City Council Rates & Planning - Ipswich,Each,,,,,,58,SEARCHES,,
42468,SEABCCBUILDIPS,Ipswich City Council Building Search - Ipswich,Each,,,,,,230,SEARCHES,,
42469,SOLDEPLNDSSRCH,Ipswich Department of Lands Search - Plan,Each,,,,,,110,SEARCHES,,
42470,SOLTTLSOFF,Titles Office Search,Each,,,,,,125,SEARCHES,,
42471,SOLCNTMLNDSRCH,Contaminated Land Search,Each,,,,,,90,SEARCHES,,
42472,SOLLNDTAXSRCH,Land Tax Search,Each,,,,,,1,SEARCHES,,
42473,SOLMNRDSSRCH,Main Roads Search,Each,,,,,,1,SEARCHES,,
42474,SOLSETTBNOTICE,Settlement Notice,Each,,,,,,1,SEARCHES,,
42475,SEABCCPLANRED,Redlands City Council Town Planning - Redlands,Each,,,,,,31,SEARCHES,,
42476,CFOLL,Carpenter Fitoff Labour,Sqm,,,164,Colour Not Required - Plumbing Fitoff Gear,113,1,Tekna Carpentry,,
42477,CEF,External Footings,lm,,,,,,12,CONCRETOR,,
42478,CONMS,Pour Main Slab,Sqm,,,,,,6,CONCRETOR,,
42479,LANDDEP,Land Deposit - Spec Homes Only,Each,,,,,,1,LAND,,
42480,KITBB,Kitchen Breakfast Bar (no tops) - soft close,lm,,,,,,585,Tekna Kitchen Material,,
42481,KITHC,Kitchen High Change - soft close,lm,,,,,,425,Aspect Joinery Pty Ltd,,
42482,KITB,Kitchen Bench (no tops) - soft close,lm,,,,,,544.5,Tekna Kitchen Material,,
42483,KITWO,Kitchen Wall Oven,Each,,,,,,880,Tekna Kitchen Material,,
42484,KITOH,Kitchen Overhead - soft close,lm,,,,,,528,Tekna Kitchen Material,,
42485,SEABCCRATESLOGVAC,Logan City Council Rates Search - Logan Vacant land,Each,,,,,,59,SEARCHES,,
42486,BOBCAT,Bobcat - Cross Flow Buckets,hours,,,,,,90,MACHINERY,,
42487,BOBEXC1540,Bobcat & Excavator 1540 wide,hours,,,,,,105,MACHINERY,,
42488,EXC1000/1450,Bobcat & Excavator 1000 or 1450 wide,hours,,,,,,128,Tekna Site,,
42489,1.5TEXC,Excavator 1.5 Tonne,hours,,,,,,85,MACHINERY,,
42490,1.5TRB,Rockbreaker - 1.5 Tonne,hours,,,,,,115,MACHINERY,,
42491,1.5TPHB,Post Hole Borer - 1.5 Tonne,hours,,,,,,100,MACHINERY,,
42492,TIPPER6M,6m Tipper,hours,,,,,,70,MACHINERY,,
42493,TIPPER10M,10m Tipper,hours,,,,,,80,MACHINERY,,
42497,SURCONTOUR,Contour,Each,,,,,,420,Survey Mark,,
42502,TM511,Trench Mesh 5-TM 11 6000 X 400mm D500L,Each,,,,,,41.2545,Ausreo Pty Ltd,,
42503,TM412,Trench Mesh 4-TM 12 6000 X 300mm D500L,Each,,,,,,35.4273,Ausreo Pty Ltd,,
42504,F52,Mesh Sqre 6000x2400mm D500L SL52,shts,,,,,,22.0545,Ausreo Pty Ltd,,
42505,F62,Mesh Sqre 6000x2400mm D500L SL62,shts,,,,,,66,Ausreo Pty Ltd,,
42506,F72,Mesh Sqre 6000 X 2400mm D500L SL72,shts,,,,,,76,Ausreo Pty Ltd,,
42507,F82,Mesh Sqre 6000 X 2400mm D500L SL82,shts,,,,,,102.5,Ausreo Pty Ltd,,
42508,F92,Mesh Sqre 6000 X 2400mm D500L SL92,shts,,,,,,114,Ausreo Pty Ltd,,
42509,6METRELONG,D Bar 12 X 6000mm D500N,Each,,,,,,9.91,Ausreo Pty Ltd,,
42510,SMDBAR16X6000,D Bar 16 X 6000mm D500N,Each,,,,,,20.3636,Ausreo Pty Ltd,,
42511,CB12X500X500,Corner Bar 12 X 500 X 500mm D500N,Each,,,,,,1.2273,Ausreo Pty Ltd,,
42512,CNRBARY12,Corner Bar 12 X 600 X 600mm D500N,Each,,,,,,2.5909,Ausreo Pty Ltd,,
42513,CB16X600X600,Corner Bar 16 X 600 X 600mm D500N,Each,,,,,,4.7091,Ausreo Pty Ltd,,
42514,STR10X1000X200,Starter R10 X 1000 X 200mm Hooked,Each,,,,,,1.1091,Ausreo Pty Ltd,,
42515,STR12X800X200,Starter 12 X 800 X 200mm D500N,Each,,,,,,1.2273,Ausreo Pty Ltd,,
42516,STARTERBARS,Starter Bar N12 X 1000 X 200mm Hooked,Each,,,,,,2.6909,Ausreo Pty Ltd,,
42517,STR12X1200X150,Starter 12 X 1200 X 150mm D500N,Each,,,,,,1.6636,Ausreo Pty Ltd,,
42518,R12TMZCAGE400,R12TM Z Cage 400 Deep,Each,,,,,,95.5273,Ausreo Pty Ltd,,
42519,R11TMZCAGE300,R11TM Z Cage 300 Deep,Each,,,,,,51.8545,Ausreo Pty Ltd,,
42520,R11TMZCAGE400,R11TM Z Cage 400 Deep,Each,,,,,,52.9091,Ausreo Pty Ltd,,
42521,MESHCHAIRS,Slab on Ground SPCR 50-65mm PK100,Pkt,,,,,,16,Ausreo Pty Ltd,,
42522,TMCHAIRS,Trench Mesh Plastic Support 65mm Pkt 20,Pkt,,,,,,7.6091,Ausreo Pty Ltd,,
42523,BLACKPLASTIC,Film IND Black 200um 50000 X 4000mm,Roll,,,,,,82.9545,Ausreo Pty Ltd,,
42524,TAPE,Tape Poly Black 30000x48mm,Roll,,,,,,4.1636,Ausreo Pty Ltd,,
42525,L18150,Lintel Ingal 150 X 100 - 1800mm,Each,,,,,,55.3182,Bunnings,,
42526,L40150,Lintel Ingal 150 X 100 - 4000mm,Each,,,,,,178.9818,Bunnings,,
42527,WCDELIVERY,Delivery of toilet on site,Each,,,,,,50,Dinkum Dunnies,,
42528,WCPICKUP,Pick up of toilet from site,Each,,,,,,50,Dinkum Dunnies,,
42529,PLSR2127,"Panel Lift 2135 X 2750 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1202,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x27 Panel Lift,
42530,PLSR2130,"Panel Lift 2135 X 3050 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1202,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x30 Panel Lift,
42531,PLSR2224,"Panel Lift 2285 X 2450 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1307,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x48 Panel Lift,
42532,PLSR2227,"Panel Lift 2285 X 2750 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1359,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x27 Panel LIft,
42533,PLSR2230,"Panel Lift 2285 X 3050 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1359,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x30 Panel Lift,
42534,PLSR2424,"Panel Lift 2440 X 2450 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1307,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x24 Panel Lift,
42535,PLSR2427,"Panel Lift 2440 X 2750 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1359,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x27 Panel Lift,
42536,PLSR2430,"Panel Lift 2440 X 3050 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included.",Each,275,Statesman - B & D Garage Doors,,,,1359,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x30 Panel Lift,
42537,TMRETAINOVER1MET,Termi Mesh Retaining walls (brick stepdown) Over 1m high Termimesh,Sqm,,,,,,55,TERMITE PROTECTION,,
42538,TMXTRAWIDE,Extra width mesh per 100mm,Each,,,,,,3,TERMITE PROTECTION,,
42539,TMPERIM,Termi Mesh Perimeter Mesh (Max 250mm),lm,,,,,,16.5,Bittn Australia Pty Ltd,,
42540,TMPENDRAIN,Termi Mesh Penetrations - Drainage/Services,Each,,,,,,16,Bittn Australia Pty Ltd,,
42541,TMSFSC,Termi Mesh Penetration - Collars,Each,,,,,,16,TERMITE PROTECTION,,
42542,TMCONJNT,Termi Mesh Construction Joint,lm,,,,,,18,TERMITE PROTECTION,,
42543,TMISOPIER,Termi Mesh Piers Including one Rod up to 700 X 350 (Isolated & Engaged),Each,,,,,,22,Bittn Australia Pty Ltd,,
42544,TMSTRIPSHIELD,Termi Mesh Strip shield (antcap max 350mm),lm,,,,,,22.6,TERMITE PROTECTION,,
42545,TMRETAINTO1MET,Termi Mesh Retaining walls (brick stepdown) Under 1m high Termimesh,Sqm,,,,,,65,TERMITE PROTECTION,,
42546,BLANKETCJOINT,Blanket Protection Cold Joint,lm,,,,,,10,Bittn Australia Pty Ltd,,
42547,TMPERIMQUOTED,Termi Mesh Perimeter as quoted,Each,,,,,,1,TERMITE PROTECTION,,
42548,TMPENLGE,Termi Mesh Penetrations - Large,Each,,,,,,16,TERMITE PROTECTION,,
42549,TMCONJNT400,Termi Mesh Construction Joint 400mm,lm,,,,,,15,TERMITE PROTECTION,,
42550,TMCONJUN300,Termi Mesh Construction Joint 300mm,lm,,,,,,12,TERMITE PROTECTION,,
42551,TMREPAIRS,Repairs minimum charge,FLAT,,,,,,85,TERMITE PROTECTION,,
42552,TMSITEVISIT,Site Visit,FLAT,,,,,,60,TERMITE PROTECTION,,
42553,WAIT,Waiting time applies after 45 minutes on site,Each,,,,,,1.2,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42554,EDF,Enviornmental Disposal Fee,Each,,,,,,85,ReadyMix Concrete (Was Excel Concrete Pty Ltd),,
42555,EDLFREEDOM,Everyday Life - Freedom,/1000,21,Everyday Life - Austral,126,Freedom - Bricks Austral,113,1042,Austral - Rochedale,Austral - Brick,
42556,GP76,Austral GP76 Common,/1000,,,,,,692.7,Austral - Rochedale,,
42557,110C,Austral 110mm Common,/1000,,,,,,692.7,Austral - Rochedale,,
42558,CONCAVITYFILL,Fill Cavity Wall,Each,,,,,,150,CONCRETOR,,
42559,BLCB,Bricklayer Common Single Rate,/1000,,,,,,1650,BRICKLAYER,,
42560,BLP,Brick Piers Per L/m,lm,,,,,,20,BRICKLAYER,,
42561,BLHR,Additional Bricklayer labour,hours,,,,,,40,BRICKLAYER,,
42562,BLB,Bagging,/1000,,,,,,100,BRICKLAYER,,
42563,BLBOX,Brick Letter-Box,Each,,,,,,170,BRICKLAYER,,
42564,SE,Bricklayer Standard Rate Face Brick,/1000,,,,,,1850,BRICKLAYER,,
42565,BLSILL,Brick Sills,lm,,,,,,25,BRICKLAYER,,
42566,BLTIES,Brick Ties (Box),bags,,,,,,15,BRICKLAYER,,
42567,BB20.01,Besser Block Standard 20.01,Each,97,200 Series - Concrete Block ,,,,2.0091,Austral - Rochedale,,
42568,BB20.09,Besser Block Full Control Joint 20.09,Each,97,200 Series - Concrete Block ,,,,2.1,Austral - Rochedale,,
42569,BB20.10,Besser Block Half Control Joint 20.10,Each,97,200 Series - Concrete Block ,,,,1.3636,Austral - Rochedale,,
42570,BB20.03,Besser Block Half 20.03,Each,97,200 Series - Concrete Block ,,,,1.1455,Austral - Rochedale,,
42571,BB20.20,Besser Block Knockout Bond Beam 20.20,Each,97,200 Series - Concrete Block ,,,,2.0364,Austral - Rochedale,,
42572,BB20.21,Besser Block Corner Bond Beam 20.21,Each,97,200 Series - Concrete Block ,,,,2.0909,Austral - Rochedale,,
42573,DELFEEBNE,Brisbane,tonne,,,,,,16.2,Austral - Rochedale,,
42574,DELFEESUNCOAST,Sunshine Coast,tonne,,,,,,16.2,Austral - Rochedale,,
42575,DELFEETWBA,Toowoomba,tonne,,,,,,16.2,Austral - Rochedale,,
42576,MGP129035,Pine 90 X 35 MGP12,lm,,,,,,2.5091,TIMBER FRAME,,
42577,PLY2412,Plywood Bracing 2440 X 1200 X 4mm,shts,,,,,,16.9091,TIMBER FRAME,,
42578,PLY2709,Plywood Bracing 2745 X 900 X 4mm,shts,,,,,,15.4818,TIMBER FRAME,,
42579,JAMB14030,Radiata 140 X 31 Jamb Finger Jointed H3 Primed DAR,lm,,,,,,11.8636,,,
42580,JAMB16330,Radiata 163 X 31 Jamb Finger Jointed H3 Primed DAR,lm,,,,,,12.3,Pre Hung Doors (PHD),,
42581,JAMBR14031,Radiata 140 X 31 Rebated Jamb Finger Jointed H3 Primed DAR,lm,,,,,,8.1364,,,
42582,FJPR3111,Radiata 31 X 11 Finger Jointed H3 Primed DAR,lm,,,,,,1.62,Bunnings,,
42583,FJPR4242,Radiata 42 X 42 Finger Jointed H3 Primed DAR,lm,,,,,,5.261,Bunnings,,
42584,FJPR6631,Radiata 66 X 31 Finger Jointed H3 Primed DAR,lm,,,,,,6.6,Bunnings,,
42585,FJPR6642,Radiata 66 X 42 Finger Jointed H3 Primed DAR,lm,,,,,,8.476,Bunnings,,
42586,FOILAG135060,Foil Breather A/Glare1350 X 60M,Each,,,,,,125.2909,SOFFIT,,
42587,VSOFI24,Vented 2400 X 150 X 4.5 Infills,Each,,,,,,6.3545,SOFFIT,,
42588,VSOF2406,Vented Soffits 2400 X 600 4.5,Each,,,,,,22.0545,SOFFIT,,
42589,VSOF24075,Vented Soffits 2400 X 750 X 4.5,Each,,,,,,17.68,SOFFIT,,
42590,VSOFI18,Vented 1800 X 150 X 4.5 Infills,Each,,,,,,4.4273,SOFFIT,,
42591,SOF1812,Soffit 1800 X 1200 X 4.5,Each,,,,,,21.95,Bunnings,,
