id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
46819,ACEDWLT,Supply & Install Wall Light on Front Brick Fence,Each,,,,,,,,,
46820,ACEDGPP,Supply & Install Weatherproof Power Point for Gate Motor,Each,,,,,,,,,
46821,ACEDWLTA,Supply & Install Additional Wall Light on Front Brick Fence,Each,,,,,,,,,
46822,ACEDINTA,Supply & Install Audio Intercom on Front Brick Fence with Gate Release,Each,,,,,,,,,
46823,PBE3A,Extra m2 Plasterboard Ceiling 3m and above,Sqm,,,,,,0.0091,PLASTER BOARD,,
46824,WGREYGUM,Wilderness - Grey Gum,/1000,13,Wilderness Design - Austral,148,Grey Gum - Bricks Austral,113,1042,Austral - Rochedale,Austral - Brick,Base House
46825,WSILVERBIRCH,Wilderness - Silver Birch,/1000,13,Wilderness Design - Austral,146,Silver Birch - Bricks Austral,113,1042,Austral - Rochedale,Austral - Brick,Base House
46826,WBLACKBUTT,Wilderness - Blackbutt,/1000,13,Wilderness Design - Austral,147,Blackbutt - Bricks Austral,113,1042,Austral - Rochedale,Austral - Brick,Base House
46827,18106,Azzurra 18106 18 Series Towel Ring,each,87,Towel Ring - Azzurra,115,Chrome - Plumbing Fitoff Gear,113,16.4545,Harvey Norman Commercial QLD,Azzurra - Robehook,
46828,KITOVD,Upgrade Vanity Drawer to Double Walled Soft Close,Each,,,,,,8,Aspect Joinery Pty Ltd,,
46829,SAVH,6 Safety Audit Visits House Site,Each,,,,,,204.545,All Industry Safety QLD (AIS),,
46830,NP3003,NUPOD 300H six(6) Piece Void Former (1160 X 1160 X 300H),Each,,,,,,26.6364,Ausreo Pty Ltd,,
46831,NP300,NUPOD 300H One Piece Void Former (1160 X 1160 X 300H),Each,,,,,,23.8182,Ausreo Pty Ltd,,
46832,NPDEL,NUPOD DEL,Each,,,,,,75,Ausreo Pty Ltd,,
46833,191631,"Acero 1 & 1/2 Right Hand Bowl Sink with Drainer, 980 X 480mm with Left Hand Drainer",Each,47,Acero - Seima,150,Stainless Steel - Plumbing Fitoff Gear,113,138,Harvey Norman Commercial QLD,Seima - Drop in Sink,
46834,191633,"Acero 1 & 1/2 Left Hand Bowl Sink with Drainer, 980 X 480mm - with Right Hand Drainer",Each,47,Acero - Seima,150,Stainless Steel - Plumbing Fitoff Gear,113,138,Harvey Norman Commercial QLD,Seima - Drop in Sink,
46835,191447,Seima Kyra Semi Insert Basin 420 X 420mm 1 Taphole with Overflow,each,47,Acero - Seima,104,White - Plumbing Fitoff Gear,113,115.92,Harvey Norman Commercial QLD,Seima - Drop In Basin,
46836,191444,Seima Plati Semi Insert Basin 550 X 460mm 1 Taphole with Overflow,Each,305,Plati - Seima,104,White - Plumbing Fitoff Gear,113,153.6,Harvey Norman Commercial QLD,Seima - Drop In Basin,
46837,191480,Seima Kyra Semi Recessed Basin 1TH 480 X 440mm(155 overhang) with overflow,Each,307,Kyra - Seima,104,White - Plumbing Fitoff Gear,113,166.32,Harvey Norman Commercial QLD,Seima - Recessed Basin,
46838,1916429,Seima Nimos 002 Round Inset Ablve counter Basin 1TH 470mmD with overflow,Each,308,Nimos - Seima,104,White - Plumbing Fitoff Gear,113,113.8455,Harvey Norman Commercial QLD,Seima - Drop In Basin,
46839,H5020,Hebel Power Panel 50 2000 X 600 X 50,Each,,,,,,,,,
46840,CSCSDE,Carpenter to Seal Cavity Sliding Door Edge,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,10,Tekna Carpentry,,
46841,ESM2UG,"20mm Engineered Stone m2 bench top UPGRADE Carrara Lumina, Carrara White, Calacatta Sara",Sqm,,,,,,525,La Rocca QLD Marble and Granite Pty Ltd,,
46842,ESM240UG,"40mm Engineered Stone m2 bench top UPGRADE Carrara Lumina, Carrara White, Calacatta Sara",Sqm,,,,,,675,La Rocca QLD Marble and Granite Pty Ltd,,
46843,ESWEUG,20mm Engineered Stone Waterfall End UPGRADE Carrara Lumina/Marquina/Havana Grey/Calacatta Sara,Each,,,,,,395,La Rocca QLD Marble and Granite Pty Ltd,,
46844,ESM40WEUP,40mm Engineered Stone Waterfall End UPGRADE Carrara Lumina/Marquina/Havana Grey/Calacatta Sara,each,,,,,,750,La Rocca QLD Marble and Granite Pty Ltd,,
46845,EN06.MB,Arcisan Eneo 260mm Hand Towel Rail - Matte Black,each,311,Eneo - Arcisan,102,Matte Black - Plumbing Fitoff Gear,113,79,Harvey Norman Commercial QLD,Arcisan - Hand Towel Rail,
46846,EN06,Arcisan Eneo 260mm Hand Towel Rail - Polished Chrome,each,311,Eneo - Arcisan,115,Chrome - Plumbing Fitoff Gear,113,71.3,Harvey Norman Commercial QLD,Arcisan - Hand Towel Rail,
46847,TN890U,Oliveri Titan Undermount Bowl 710 X 405mm,each,408,Titan - Oliveri,150,Stainless Steel - Plumbing Fitoff Gear,113,750,Harvey Norman Commercial QLD,Oliveri - Undermount Sink,
46848,AX16350,Arcisan Axus Pin Lever Shower/Bath Mixer with Diverter on Round Backplate Trim Kit only - Polished Chrome,each,241,Axus - Arcisan,115,Chrome - Plumbing Fitoff Gear,113,47,Harvey Norman Commercial QLD,Arcisan - Wall Mounted Mixer Spout Combo,
46849,ARB0135,Arcisan Axus Diverter Mixer Inwall Body,each,241,Axus - Arcisan,,,,52,Harvey Norman Commercial QLD,,
46850,EV299B,Abey Solaire Naturalite Double Bowl Sink with Drainer - Black,Each,193,Double Bowl - Abey,105,Black - Plumbing Fitoff Gear,113,330,Harvey Norman Commercial QLD,Abey - Drop in Sink,
46851,WR,Wall Rap Supplied and Installed - Polyweave brick and Hebel,Sqm,,,,,,4.38,Austral Insulation,,
46852,WRC,Wall Rap Supplied and Installed - Building Membrane light weight cladding,Sqm,,,,,,6.57,Austral Insulation,,
46853,WRFP,Rapid Wall Wrap Fall Protection,lm,,,,,,12,Austral Insulation,,
46854,AX02170.MB,Arcisan Axus Round Wall Arm 350mm - Matt Black,each,241,Axus - Arcisan,102,Matte Black - Plumbing Fitoff Gear,113,34.5,Harvey Norman Commercial QLD,,
46855,AX013506,Arcisan Axus Pin Lever Square Gooseneck Sink Mixer - Polished Chrome,each,241,Axus - Arcisan,115,Chrome - Plumbing Fitoff Gear,113,87.3182,Harvey Norman Commercial QLD,Arcisan - Sink Mixer,
46856,FJCHA146019,Chamfer Araucaria Gold Primed F/J Pine 149 X 19MM,lm,,,,,,,,,
46857,FJCHA180019,Chamfer Araucaria Gold Primed F/J Pine 180 X 19MM,lm,,,,,,,,,
46858,AR02104.MB,Arcisan Axus Square Wall/Ceiling Mounted Shower Head 200mm - Matt Black,each,241,Axus - Arcisan,102,Matte Black - Plumbing Fitoff Gear,113,80,Harvey Norman Commercial QLD,Arcisan - Rain Head,
