item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
FOLD5.2,5.2 Fold Away Rotary,Rotary - Clothes LInes,Each,320.00,Lovering Installations QLD,,Model: Sam To FIX,2025-11-03
URBAN,Urban Metal Letterbox ( Key Locked ) 50mm black Numbers,General,Each,184.00,Lovering Installations QLD,,,2025-11-03
CILEVY,Community Infrastructure Levy,General,Each,1225.00,Fluid Building Approvals,,,2025-11-03
PLUMA12,Plumbing Approval Dwelling - 12 Fixtures,Plumbing,Each,1479.00,Fluid Building Approvals,,,2025-11-03
HANDRAIL,Handrail for Stairs as Per Quote,General,Each,1.00,STAIRS,,,2025-11-03
HFLASHING,Head Flashing,Roofing,Each,0.01,WINDOWS,,,2025-11-03
PFENCE,Paint Fence,Finishes,m,15.00,PAINTER,,Budget Zone: Paint,2025-11-03
S94,S94 Charges,General,Each,0.01,Fluid Building Approvals,,,2025-11-03
TREERAPP,Tree Removal Applicatioin,General,Each,0.01,Fluid Building Approvals,,,2025-11-03
WPWETAR,"Waterproofing to Wet Areas (3 Bathrooms, 2 Laundries and Toilet)",Roofing,Each,754.54,Wayke Waterproofing,,,2025-11-03
Z525,Z Bar 500 X 290 X 200mm D500N,General,Each,4.38,Ausreo Pty Ltd,,,2025-11-03
PVTGA2040MLH,Single Entry MERBAU Door Frame Pivot LH 160 X 31mm to Suit 2040 X 1200 mm Wide Door - includes self closer,Front Door Frames - Front Door Frames,Each,842.00,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
PVTGA2040MRH,Single Entry MERBAU Door Frame Pivot RH 160 X 31mm to Suit 2040 X 1200 mm Wide Door - includes self closer,Front Door Frames - Front Door Frames,Each,842.00,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
DAIKIN12FO,Supply and Install 12KW Daikin Ducted A/C up to 250sqm 7 Zones with MyZone 3 Touch Screen Control and Temperature Sensors,Dakin - Dakin,Each,3726.91,Star Airconditioning,Dakin - Ducted Air,Brand: Dakin - Ducted Air | Budget Zone: Air Conditioning | Model: Ducted Air | Colour: Colour Not Required - Plumbing Fitoff Gear,2025-11-03
DAIKIN14FO,Supply and Install 14KW Daikin Ducted A/C up to 300sqm 8 Zones with MyZone 3 Touch Screen Control and Temperature Sensors,Dakin - Dakin,Each,3891.64,Star Airconditioning,Dakin - Ducted Air,Brand: Dakin - Ducted Air | Budget Zone: Air Conditioning | Model: Ducted Air | Colour: Colour Not Required - Plumbing Fitoff Gear,2025-11-03
DAIKIN16FO,Supply and Install 16KW Daikin Ducted A/C up to 350sqm 8 Zones with MyZone 3 Touch Screen Control and Temperature Sensors,Dakin - Dakin,Each,4262.91,Star Airconditioning,Dakin - Ducted Air,Brand: Dakin - Ducted Air | Budget Zone: Air Conditioning | Model: Ducted Air | Colour: Colour Not Required - Plumbing Fitoff Gear,2025-11-03
DAIKIN7.1,Supply and Install 7.1KW Daikin Ducted A/C - Townhouses,Dakin - Dakin,Each,6250.00,Star Airconditioning,Dakin - Ducted Air,Brand: Dakin - Ducted Air | Budget Zone: Air Conditioning | Model: Ducted Air | Colour: Colour Not Required - Plumbing Fitoff Gear,2025-11-03
RB6610,600 X 610 Roller Blind,General,Each,49.74,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB6760,600 X 760 Roller Blind,General,Each,49.01,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB6910,600 X 910 Roller Blind,General,Each,59.47,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
