item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
DPP,Wiring of Double Power Point,Electrical,Each,51.00,TL Electrical,,,2025-11-03
WEF,Wiring of Exhaust Fan including Supply Fan 250mm,Electrical,Each,,,,NEEDS PRICING,2025-11-03
WLP,Wiring of Light Point,Electrical,Each,,,,NEEDS PRICING,2025-11-03
ILF,Install Light Fittings,Electrical,Each,,,,NEEDS PRICING,2025-11-03
TP,Telephone point,General,Each,,,,NEEDS PRICING,2025-11-03
SPP,Wiring of Single Power Point,Electrical,Each,50.00,TL Electrical,,,2025-11-03
ODPP,Waterproof double power point,Electrical,Each,69.00,TL Electrical,,,2025-11-03
SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,General,Each,,,,NEEDS PRICING,2025-11-03
WTV,Wiring of TV point,Electrical,Each,58.00,TL Electrical,,,2025-11-03
WTWS,Wiring of Two way switch,Electrical,Each,,,,NEEDS PRICING,2025-11-03
SITEWKS,Rock retaining as Quoted,General,POA,1.00,,,,2025-11-03
SITEWKS1,Site cut as Directed,Site Works,Hours,110.00,,,Budget Zone: Site Cut,2025-11-03
CCMIN,Cutting min Charge,Site Works,Each,170.00,Logan Concrete Sawing & Drilling,,,2025-11-03
POOLAPOQUO,Pool as per Quote,Pool,Each,1.00,POOL,,,2025-11-03
CRUSHERDUST,Crusher Dust,General,m³,333.83,Jopa Queensland,,,2025-11-03
DRI,Document Registration New Dwelling - Ipswich,Approvals,Each,120.00,Fluid Building Approvals,,,2025-11-03
DRCB,Document Registration Commercial - Brisbane,Approvals,Each,137.00,Fluid Building Approvals,,,2025-11-03
PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),Plumbing,Each,74.00,Fluid Building Approvals,,,2025-11-03
BPBDELV,Brisbane post and beams delv,Steel,Each,35.00,Harvey's Mechanical & Welding,,,2025-11-03
PSTSTIR,Post stirups as quoted,Steel,Each,45.00,Harvey's Mechanical & Welding,,,2025-11-03
SITEWELD,Site work as directed,Site Works,Each,82.00,Harvey's Mechanical & Welding,,,2025-11-03
BSACONTRAT,BSA One Pack Contract Kit,General,Each,10.00,PRELIM,,,2025-11-03
HQ,Hire equipment as requested,Site Services,Each,1.00,Dinkum Dunnies,,,2025-11-03
WS99,Wet Seal Square 900 X 900,General,Each,250.00,Wayke Waterproofing,,,2025-11-03
QHOP,Quote for Hang-on Platform,General,Each,1.00,SCAFFOLD,,Budget Zone: Scaffolding & Saftey,2025-11-03
QP111,Quad Pine 11 X 11,Timber,m,1.08,Pre Hung Doors,,,2025-11-03
QP1818,Quad Pine 18 X 18 Primed LOSP H3,Timber,m,1.19,Pre Hung Doors,,,2025-11-03
SDP4211,Square Dressed Pine 42 X 11,Timber,m,1.06,Pre Hung Doors,,,2025-11-03
SDP4218,Square Dressed Pine 42 X 18,Timber,m,1.40,Pre Hung Doors,,,2025-11-03
SDP6618,Square Dressed Pine 66 X 18,Timber,m,2.71,Pre Hung Doors,,,2025-11-03
SDP9318,Square Dressed Pine 93 X 18,Timber,m,3.23,Pre Hung Doors,,,2025-11-03
MGP107035,Pine 70 X 35 MGP10,Timber,m,1.86,TIMBER FRAME,,,2025-11-03
MGP109035,Pine 90 X 35 MGP10,Timber,m,2.05,TIMBER FRAME,,,2025-11-03
MGP1019035,Pine 190 X 35 MGP10,Timber,m,5.65,TIMBER FRAME,,,2025-11-03
MGP127035,Pine 70 X 35 MGP12,Timber,m,2.46,TIMBER FRAME,,,2025-11-03
DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,General,m,4.22,TIMBER FRAME,,,2025-11-03
DECKM9019,Merbau 90 X 19 Decking Material,General,m,3.66,TIMBER FRAME,,,2025-11-03
CUSHSTOP,Door Stop Cushion,Doors & Windows,Each,1.05,Pre Hung Doors,,,2025-11-03
WHR18,Wardrobe Hanging Rod 1800 X 19mm,General,Each,8.37,Pre Hung Doors,,,2025-11-03
WHR36,Wardrobe Hanging Rod 3600 X 19mm,General,Each,16.10,Pre Hung Doors,,,2025-11-03
WHRE,Wardrobe Hanging Rod Ends,General,Pairs,2.75,Pre Hung Doors,,,2025-11-03
WHRC,Wardrobe Hanging Rod Centres,General,Each,1.50,Pre Hung Doors,,,2025-11-03
BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,General,Each,1.44,Bunnings,,,2025-11-03
BNHG12130,Bolt & Nut Hex Galv M12 X 130 each,General,Each,1.34,Bunnings,,,2025-11-03
BNHG12140,Bolt & Nut Hex Galv M12 X 140 each,General,Each,1.16,Bunnings,,,2025-11-03
BNHG12150,Bolt & Nut Hex Galv M12 X 150 each,General,Each,1.46,Bunnings,,,2025-11-03
BCG12100,Bolt & Nut Cup Galv M12 X 100 each,General,Each,1.00,Bunnings,,,2025-11-03
BCG12130,Bolt & Nut Cup Galv M12 X 130 each,General,Each,1.12,Bunnings,,,2025-11-03
BCG12140,Bolt & Nut Cup Galv M12 X 140 each,General,Each,1.17,Bunnings,,,2025-11-03
BCG12150,Bolt & Nut Cup Galv M12 X 150 each,General,Each,1.23,Bunnings,,,2025-11-03
480PBS,Gainsborough 60mm Backset Tubular Latch,General,Each,3.63,Pre Hung Doors,,,2025-11-03
480BCS,Gainsborough 60mm Backset Tubular Latch,General,Each,3.63,Pre Hung Doors,,,2025-11-03
L12100,Lintel Ingal 100 X 100 - 1200mm,General,Each,32.71,Bunnings,,,2025-11-03
L15100,Lintel Ingal 100 X 100 - 1500mm,General,Each,40.89,Bunnings,,,2025-11-03
L18100,Lintel Ingal 100 X 100 - 1800mm,General,Each,49.05,Bunnings,,,2025-11-03
L21100,Lintel Ingal 100 X 100 - 2100mm,General,Each,72.79,Bunnings,,,2025-11-03
L24100,Lintel Ingal 100 X 100 - 2400mm,General,Each,65.44,Bunnings,,,2025-11-03
L21150,Lintel Ingal 150 X 100 - 2100mm,General,Each,93.96,Bunnings,,,2025-11-03
L24150,Lintel Ingal 150 X 100 - 2400mm,General,Each,107.39,Bunnings,,,2025-11-03
L27150,Lintel Ingal 150 X 100 - 2700mm,General,Each,120.80,Bunnings,,,2025-11-03
L30150,Lintel Ingal 150 X 100 - 3000mm,General,Each,134.24,Bunnings,,,2025-11-03
L33150,Lintel Ingal 150 X 100 - 3300mm,General,Each,147.65,Bunnings,,,2025-11-03
L36150,Lintel Ingal 150 X 100 - 3600mm,General,Each,161.07,Bunnings,,,2025-11-03
LF85900,Lintel Ingal Flat 85 X 900mm,General,Each,19.58,Bunnings,,,2025-11-03
LF851200,Lintel Ingal Flat 85 X 1200mm,General,Each,26.09,Bunnings,,,2025-11-03
FLRRD36922,Flooring GP Red Tongue 3600 X 900 X 22,Flooring,Shts,50.00,TIMBER FRAME,,,2025-11-03
PD420,Honeycomb Core 2040 X 420 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 420 Int Door,Brand: Corinthian - 2100 420 Int Door | Model: 2100 420 Int Door,2025-11-03
PD520,Honeycomb Core 2040 X 520 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 520 Int Door,Brand: Corinthian - 2100 520 Int Door | Model: 2100 520 Int Door,2025-11-03
PD620,Honeycomb Core 2040 X 620 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 620 Int Door,Brand: Corinthian - 2100 620 Int Door | Model: 2100 620 Int Door,2025-11-03
PD920,Honeycomb Core 2040 X 920 X 35,Doors,Each,33.60,Pre Hung Doors,Corinthian - 2100 920 Int Door,Brand: Corinthian - 2100 920 Int Door | Model: 2100 920 Int Door,2025-11-03
NO.7GC,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Clear,General,Each,190.00,Pre Hung Doors,,,2025-11-03
NO.7GO,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Obscure,General,Each,193.00,Pre Hung Doors,,,2025-11-03
PD720,Honeycomb Core 2040 X 720 X 35,Doors,Each,38.50,Pre Hung Doors,Corinthian - 2100 720 Int Door,Brand: Corinthian - 2100 720 Int Door | Model: 2100 720 Int Door,2025-11-03
PD820,Honeycomb Core 2040 X 820 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 820 Int Door,Brand: Corinthian - 2100 820 Int Door | Model: 2100 820 Int Door,2025-11-03
PBR,Painting to Ballustrade as required,Finishes,m²,40.00,PAINTER,,Budget Zone: Paint,2025-11-03
PEB,Painting required to external Brickwork,Finishes,m²,10.00,PAINTER,,Budget Zone: Paint,2025-11-03
PH,Internal Walls upto 2.4 House 3 Coates,General,m²,32.00,MI Painting and Decorating Services Marko Lvanovic,,Budget Zone: Paint,2025-11-03
KITCHQUOTE,Kitchen as per Quote,General,Each,1.00,Tekna Admin,,,2025-11-03
PTB,Painter to Gable Timber Battens,Timber,m,2.50,PAINTER,,Budget Zone: Paint,2025-11-03
CWINS,Contract Works Insurance,General,Each,1.00,Tekna Insurance,,Budget Zone: Insurance,2025-11-03
ROOFTILE,Roof tiles as per quote,Roofing,Each,1.00,Joii Roofing,,Budget Zone: Main Floors,2025-11-03
CONBLEND,Concrete Blend,Concrete,m³,52.00,LANDSCAPING,,,2025-11-03
PEAGRAVEL,5mm Pea Gravel,General,m³,50.00,LANDSCAPING,,Budget Zone: Gravel to side of house,2025-11-03
TILERALIANG,"Aluminium Angle Per House Mill Finish on Floor Bright Silver to Shower,Bath Hobs NA Niches",Flooring,Each,120.00,Alex Wang Pty Ltd,,,2025-11-03
TILERQUOTE,Tiling as Quoted,General,Each,1.00,Alex Wang Pty Ltd,,,2025-11-03
TRW,Std Rate Walls,General,m²,60.00,Alex Wang Pty Ltd,,,2025-11-03
TRWF,Std Rate Wet Floor Tiling up to 450mm Square or 600mm x 300mm,Flooring,m²,54.00,Alex Wang Pty Ltd,,,2025-11-03
STAMPDUTY,Stamp Duty,General,Each,1.00,LEGAL,,,2025-11-03
WCFRESHWATER,Fresh water flush chemical toilet,General,Weeks,47.50,Dinkum Dunnies,,,2025-11-03
RENCEMLOW,Solid cement render,Concrete,m²,37.00,RENDER,,,2025-11-03
20MPA20100,N20 Mpa 20/100,General,m³,264.00,ReadyMix Concrete,,,2025-11-03
25MPA20100,N25 Mpa 20/100,General,m³,283.00,ReadyMix Concrete,,,2025-11-03
32MPA20100,N32 Mpa 20/100,General,m³,276.00,ReadyMix Concrete,,,2025-11-03
40MPA2080,N40 Mpa 20/80,General,m³,290.00,ReadyMix Concrete,,,2025-11-03
PLSL,Portable Long Service Leave,General,/1000,1.00,PLSL,,Budget Zone: Insurance,2025-11-03
FENPOOL,Pool Fencing as Quoted,Pool,Each,1.00,POOL,,Budget Zone: Fence,2025-11-03
SIGNSBLD,Builders Signs,General,Each,1.00,PRELIM,,,2025-11-03
DELVPRE,Delivery charge,General,Each,45.45,Bunnings,,,2025-11-03
FIXOUTQUOTE,Fixout as per quote,General,Each,1.00,Pre Hung Doors,,,2025-11-03
BATTR1.5W,Supply and install R1.5 Wall Batts,Insulation,m²,5.44,Austral Insulation,,,2025-11-03
BATTR2.5W,Supply and install R2.5 Wall Batts,Insulation,m²,14.47,Austral Insulation,,,2025-11-03
PRELIMAGRRE,Preliminary Agreement Packs,General,Each,77.00,PRELIM,,,2025-11-03
RESBUILDCON,Residential Building Contracts,General,Each,9.00,PRELIM,,,2025-11-03
RESBUILDSPEC,Residential Building Spec,General,Each,25.00,PRELIM,,,2025-11-03
SEABCCBUILDLOG,Logan City Council Building Search - Logan,Approvals,Each,59.00,SEARCHES,,,2025-11-03
SEABCCPLANLOG,Logan City Council Town Planning - Logan,Approvals,Each,59.00,SEARCHES,,,2025-11-03
SEABCCRATESLOG,Logan City Council Rates Search - Logan,Approvals,Each,59.00,SEARCHES,,,2025-11-03
SEABCCBUILD,Brisbane City Council Building Search - Brisbane,Approvals,Each,40.00,SEARCHES,,,2025-11-03
SEABCCRATES,Brisbane City Council Rates Search - Brisbane,Approvals,Each,40.00,SEARCHES,,,2025-11-03
SEABCCPLAN,Brisbane City Council Rates Planning - Brisbane,Approvals,Each,40.00,SEARCHES,,,2025-11-03
SJGPURCH,Professional costs purchase,General,Each,500.00,LEGAL,,,2025-11-03
SJGSALE,Professional costs-sale,General,Each,1.00,LEGAL,,,2025-11-03
SJGSETTLE,Settlement notice,General,Each,1.00,LEGAL,,,2025-11-03
FDG,Double gate set with hinges,General,Each,625.00,Joii Landscaping,,Budget Zone: Fence,2025-11-03
FSG,Single gate with hinges,General,Each,258.50,Joii Landscaping,,Budget Zone: Fence,2025-11-03
S20MPA10150,S20 Mpa 10/150 Coremasta,General,m³,190.00,ReadyMix Concrete,,,2025-11-03
S20MPA10150BF,S20 Mpa 10/150 Blockfill,Site Works,m³,141.00,ReadyMix Concrete,,,2025-11-03
CARPETQUOTED,Carpets as per Quote,Flooring,Each,1.00,FLOOR COVERING,,Budget Zone: Main Floors,2025-11-03
SKIP3MTR,3 Cubic Metre Skip,General,Each,319.00,Tekna Site,,,2025-11-03
SKIP6MTR,6 Cubic Metre Skip,General,Each,519.00,United Waste Services,,,2025-11-03
TRUSSQUOTE,Trusses as per quote,General,Each,1.00,Bunnings,,,2025-11-03
CC4,4 mtres x 7 Cross cuts no more than 1m apart plus ECU,Site Works,Each,170.00,Logan Concrete Sawing & Drilling,,,2025-11-03
DLEC,"Exposed Concrete - (Supply, Prep, Steel, Pour)",Concrete,m²,80.00,DRIVEWAY,,Budget Zone: Driveway,2025-11-03
DLBFC,"Broomed Finish Concrete - (Supply, Prep, Steel, Pour)",Concrete,m²,65.00,DRIVEWAY,,Budget Zone: Driveway,2025-11-03
CONIBEX,Internal Beams over 300 in depth - extra,Steel,m,5.00,CONCRETOR,,,2025-11-03
CONPIERS,Piers for posts,Steel,Each,7.00,CONCRETOR,,,2025-11-03
DRB,Document Registration - New Dwelling Brisbane,Approvals,Each,250.00,Fluid Building Approvals,,,2025-11-03
PIBR,Property Information CITEC - Brisbane,General,Each,20.00,Fluid Building Approvals,,,2025-11-03
PDSSB,Plumbing & Drainage - Sewered sites (New Dwelling) - Brisbane < 500m2,Plumbing,Each,433.20,Fluid Building Approvals,,,2025-11-03
WCI,Water Connection - Ipswich,General,Each,680.00,Fluid Building Approvals,,,2025-11-03
WCB,Water Connection - Brisbane,General,POA,460.00,Fluid Building Approvals,,,2025-11-03
RCI,Relaxation Council - Ipswich,Approvals,Each,285.00,Fluid Building Approvals,,,2025-11-03
RCB,Relaxation Council - Brisbane,Approvals,Each,450.00,Fluid Building Approvals,,,2025-11-03
RFB,Nomination of Road Frontage - Brisbane,General,Each,210.75,Fluid Building Approvals,,,2025-11-03
BOSB,Build over Sewer - Brisbane,General,Each,170.00,Fluid Building Approvals,,,2025-11-03
BOSWB,Build over Storm Water - Brisbane,General,Each,410.00,Fluid Building Approvals,,,2025-11-03
BOSWI,Build Over Storm Water - Ipswich,General,Each,125.00,Fluid Building Approvals,,,2025-11-03
SEABCCBUILDRED,Redlands City Council Building Search - Redlands,Approvals,Each,58.00,SEARCHES,,,2025-11-03
SEABCCRATEPLANIPS,Redlands City Council Rates & Planning - Ipswich,Approvals,Each,58.00,SEARCHES,,,2025-11-03
SEABCCBUILDIPS,Ipswich City Council Building Search - Ipswich,Approvals,Each,230.00,SEARCHES,,,2025-11-03
SOLDEPLNDSSRCH,Ipswich Department of Lands Search - Plan,General,Each,110.00,SEARCHES,,,2025-11-03
SOLTTLSOFF,Titles Office Search,General,Each,125.00,SEARCHES,,,2025-11-03
SOLCNTMLNDSRCH,Contaminated Land Search,General,Each,90.00,SEARCHES,,,2025-11-03
SOLLNDTAXSRCH,Land Tax Search,General,Each,1.00,SEARCHES,,,2025-11-03
SOLMNRDSSRCH,Main Roads Search,General,Each,1.00,SEARCHES,,,2025-11-03
SOLSETTBNOTICE,Settlement Notice,General,Each,1.00,SEARCHES,,,2025-11-03
SEABCCPLANRED,Redlands City Council Town Planning - Redlands,Approvals,Each,31.00,SEARCHES,,,2025-11-03
CFOLL,Carpenter Fitoff Labour,General,m²,1.00,Tekna Carpentry,,Colour: Colour Not Required - Plumbing Fitoff Gear,2025-11-03
CEF,External Footings,General,m,12.00,CONCRETOR,,,2025-11-03
CONMS,Pour Main Slab,Concrete,m²,6.00,CONCRETOR,,,2025-11-03
LANDDEP,Land Deposit - Spec Homes Only,General,Each,1.00,LAND,,,2025-11-03
KITBB,Kitchen Breakfast Bar (no tops) - soft close,General,m,585.00,Tekna Kitchen Material,,,2025-11-03
KITHC,Kitchen High Change - soft close,General,m,425.00,Aspect Joinery Pty Ltd,,,2025-11-03
KITB,Kitchen Bench (no tops) - soft close,General,m,544.50,Tekna Kitchen Material,,,2025-11-03
KITWO,Kitchen Wall Oven,General,Each,880.00,Tekna Kitchen Material,,,2025-11-03
KITOH,Kitchen Overhead - soft close,General,m,528.00,Tekna Kitchen Material,,,2025-11-03
SEABCCRATESLOGVAC,Logan City Council Rates Search - Logan Vacant land,Approvals,Each,59.00,SEARCHES,,,2025-11-03
BOBCAT,Bobcat - Cross Flow Buckets,General,Hours,90.00,MACHINERY,,,2025-11-03
BOBEXC1540,Bobcat & Excavator 1540 wide,Site Works,Hours,105.00,MACHINERY,,,2025-11-03
EXC1000/1450,Bobcat & Excavator 1000 or 1450 wide,Site Works,Hours,128.00,Tekna Site,,,2025-11-03
1.5TEXC,Excavator 1.5 Tonne,Site Works,Hours,85.00,MACHINERY,,,2025-11-03
1.5TRB,Rockbreaker - 1.5 Tonne,General,Hours,115.00,MACHINERY,,,2025-11-03
1.5TPHB,Post Hole Borer - 1.5 Tonne,Steel,Hours,100.00,MACHINERY,,,2025-11-03
TIPPER6M,6m Tipper,General,Hours,70.00,MACHINERY,,,2025-11-03
TIPPER10M,10m Tipper,General,Hours,80.00,MACHINERY,,,2025-11-03
SURCONTOUR,Contour,General,Each,420.00,Survey Mark,,,2025-11-03
TM511,Trench Mesh 5-TM 11 6000 X 400mm D500L,General,Each,41.25,Ausreo Pty Ltd,,,2025-11-03
TM412,Trench Mesh 4-TM 12 6000 X 300mm D500L,General,Each,35.43,Ausreo Pty Ltd,,,2025-11-03
F52,Mesh Sqre 6000x2400mm D500L SL52,General,Shts,22.05,Ausreo Pty Ltd,,,2025-11-03
F62,Mesh Sqre 6000x2400mm D500L SL62,General,Shts,66.00,Ausreo Pty Ltd,,,2025-11-03
F72,Mesh Sqre 6000 X 2400mm D500L SL72,General,Shts,76.00,Ausreo Pty Ltd,,,2025-11-03
F82,Mesh Sqre 6000 X 2400mm D500L SL82,General,Shts,102.50,Ausreo Pty Ltd,,,2025-11-03
F92,Mesh Sqre 6000 X 2400mm D500L SL92,General,Shts,114.00,Ausreo Pty Ltd,,,2025-11-03
6METRELONG,D Bar 12 X 6000mm D500N,General,Each,9.91,Ausreo Pty Ltd,,,2025-11-03
SMDBAR16X6000,D Bar 16 X 6000mm D500N,General,Each,20.36,Ausreo Pty Ltd,,,2025-11-03
CB12X500X500,Corner Bar 12 X 500 X 500mm D500N,General,Each,1.23,Ausreo Pty Ltd,,,2025-11-03
CNRBARY12,Corner Bar 12 X 600 X 600mm D500N,General,Each,2.59,Ausreo Pty Ltd,,,2025-11-03
CB16X600X600,Corner Bar 16 X 600 X 600mm D500N,General,Each,4.71,Ausreo Pty Ltd,,,2025-11-03
STR10X1000X200,Starter R10 X 1000 X 200mm Hooked,General,Each,1.11,Ausreo Pty Ltd,,,2025-11-03
STR12X800X200,Starter 12 X 800 X 200mm D500N,General,Each,1.23,Ausreo Pty Ltd,,,2025-11-03
STARTERBARS,Starter Bar N12 X 1000 X 200mm Hooked,General,Each,2.69,Ausreo Pty Ltd,,,2025-11-03
STR12X1200X150,Starter 12 X 1200 X 150mm D500N,General,Each,1.66,Ausreo Pty Ltd,,,2025-11-03
R12TMZCAGE400,R12TM Z Cage 400 Deep,General,Each,95.53,Ausreo Pty Ltd,,,2025-11-03
R11TMZCAGE300,R11TM Z Cage 300 Deep,General,Each,51.85,Ausreo Pty Ltd,,,2025-11-03
R11TMZCAGE400,R11TM Z Cage 400 Deep,General,Each,52.91,Ausreo Pty Ltd,,,2025-11-03
MESHCHAIRS,Slab on Ground SPCR 50-65mm PK100,Concrete,Pkt,16.00,Ausreo Pty Ltd,,,2025-11-03
TMCHAIRS,Trench Mesh Plastic Support 65mm Pkt 20,General,Pkt,7.61,Ausreo Pty Ltd,,,2025-11-03
BLACKPLASTIC,Film IND Black 200um 50000 X 4000mm,General,Roll,82.95,Ausreo Pty Ltd,,,2025-11-03
TAPE,Tape Poly Black 30000x48mm,Plumbing,Roll,4.16,Ausreo Pty Ltd,,,2025-11-03
L18150,Lintel Ingal 150 X 100 - 1800mm,General,Each,55.32,Bunnings,,,2025-11-03
L40150,Lintel Ingal 150 X 100 - 4000mm,General,Each,178.98,Bunnings,,,2025-11-03
WCDELIVERY,Delivery of toilet on site,Site Works,Each,50.00,Dinkum Dunnies,,,2025-11-03
WCPICKUP,Pick up of toilet from site,Site Works,Each,50.00,Dinkum Dunnies,,,2025-11-03
PLSR2127,"Panel Lift 2135 X 2750 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1202.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x27 Panel Lift,Brand: B & D Garage Doors - 21x27 Panel Lift | Model: 21x27 Panel Lift,2025-11-03
PLSR2130,"Panel Lift 2135 X 3050 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1202.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 21x30 Panel Lift,Brand: B & D Garage Doors - 21x30 Panel Lift | Model: 21x30 Panel Lift,2025-11-03
PLSR2224,"Panel Lift 2285 X 2450 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1307.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x48 Panel Lift,Brand: B & D Garage Doors - 22x48 Panel Lift | Model: 22x48 Panel Lift,2025-11-03
PLSR2227,"Panel Lift 2285 X 2750 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x27 Panel LIft,Brand: B & D Garage Doors - 22x27 Panel LIft | Model: 22x27 Panel LIft,2025-11-03
PLSR2230,"Panel Lift 2285 X 3050 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 22x30 Panel Lift,Brand: B & D Garage Doors - 22x30 Panel Lift | Model: 22x30 Panel Lift,2025-11-03
PLSR2424,"Panel Lift 2440 X 2450 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1307.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x24 Panel Lift,Brand: B & D Garage Doors - 24x24 Panel Lift | Model: 24x24 Panel Lift,2025-11-03
PLSR2427,"Panel Lift 2440 X 2750 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x27 Panel Lift,Brand: B & D Garage Doors - 24x27 Panel Lift | Model: 24x27 Panel Lift,2025-11-03
PLSR2430,"Panel Lift 2440 X 3050 Statesman -includes motor with 1 wall and 2 remote control openers,Side track seals included",Statesman - B & D Garage Doors,Each,1359.00,Sunstate Garage Doors (Travis Voigt TA),B & D Garage Doors - 24x30 Panel Lift,Brand: B & D Garage Doors - 24x30 Panel Lift | Model: 24x30 Panel Lift,2025-11-03
TMRETAINOVER1MET,Termi Mesh Retaining walls (brick stepdown) Over 1m high Termimesh,General,m²,55.00,TERMITE PROTECTION,,,2025-11-03
TMXTRAWIDE,Extra width mesh per 100mm,General,Each,3.00,TERMITE PROTECTION,,,2025-11-03
TMPERIM,Termi Mesh Perimeter Mesh (Max 250mm),General,m,16.50,Bittn Australia Pty Ltd,,,2025-11-03
TMPENDRAIN,Termi Mesh Penetrations - Drainage/Services,Plumbing,Each,16.00,Bittn Australia Pty Ltd,,,2025-11-03
TMSFSC,Termi Mesh Penetration - Collars,General,Each,16.00,TERMITE PROTECTION,,,2025-11-03
TMCONJNT,Termi Mesh Construction Joint,General,m,18.00,TERMITE PROTECTION,,,2025-11-03
TMISOPIER,Termi Mesh Piers Including one Rod up to 700 X 350 (Isolated & Engaged),General,Each,22.00,Bittn Australia Pty Ltd,,,2025-11-03
TMSTRIPSHIELD,Termi Mesh Strip shield (antcap max 350mm),General,m,22.60,TERMITE PROTECTION,,,2025-11-03
TMRETAINTO1MET,Termi Mesh Retaining walls (brick stepdown) Under 1m high Termimesh,General,m²,65.00,TERMITE PROTECTION,,,2025-11-03
BLANKETCJOINT,Blanket Protection Cold Joint,General,m,10.00,Bittn Australia Pty Ltd,,,2025-11-03
TMPERIMQUOTED,Termi Mesh Perimeter as quoted,General,Each,1.00,TERMITE PROTECTION,,,2025-11-03
TMPENLGE,Termi Mesh Penetrations - Large,General,Each,16.00,TERMITE PROTECTION,,,2025-11-03
TMCONJNT400,Termi Mesh Construction Joint 400mm,General,m,15.00,TERMITE PROTECTION,,,2025-11-03
TMCONJUN300,Termi Mesh Construction Joint 300mm,General,m,12.00,TERMITE PROTECTION,,,2025-11-03
TMREPAIRS,Repairs minimum charge,General,Flat,85.00,TERMITE PROTECTION,,,2025-11-03
TMSITEVISIT,Site Visit,Site Works,Flat,60.00,TERMITE PROTECTION,,,2025-11-03
WAIT,Waiting time applies after 45 minutes on site,Site Works,Each,1.20,ReadyMix Concrete,,,2025-11-03
EDF,Enviornmental Disposal Fee,General,Each,85.00,ReadyMix Concrete,,,2025-11-03
EDLFREEDOM,Everyday Life - Freedom,Everyday Life - Austral,/1000,1042.00,Austral - Rochedale,Austral - Brick,Brand: Austral - Brick | Model: Brick | Colour: Freedom - Bricks Austral,2025-11-03
GP76,Austral GP76 Common,General,/1000,692.70,Austral - Rochedale,,,2025-11-03
110C,Austral 110mm Common,General,/1000,692.70,Austral - Rochedale,,,2025-11-03
CONCAVITYFILL,Fill Cavity Wall,Site Works,Each,150.00,CONCRETOR,,,2025-11-03
BLCB,Bricklayer Common Single Rate,General,/1000,1650.00,BRICKLAYER,,,2025-11-03
BLP,Brick Piers Per L/m,General,m,20.00,BRICKLAYER,,,2025-11-03
BLHR,Additional Bricklayer labour,General,Hours,40.00,BRICKLAYER,,,2025-11-03
BLB,Bagging,General,/1000,100.00,BRICKLAYER,,,2025-11-03
BLBOX,Brick Letter-Box,General,Each,170.00,BRICKLAYER,,,2025-11-03
SE,Bricklayer Standard Rate Face Brick,General,/1000,1850.00,BRICKLAYER,,,2025-11-03
BLSILL,Brick Sills,General,m,25.00,BRICKLAYER,,,2025-11-03
BLTIES,Brick Ties (Box),General,Bags,15.00,BRICKLAYER,,,2025-11-03
BB20.01,Besser Block Standard 20.01,200 Series - Concrete Block,Each,2.01,Austral - Rochedale,,,2025-11-03
BB20.09,Besser Block Full Control Joint 20.09,200 Series - Concrete Block,Each,2.10,Austral - Rochedale,,,2025-11-03
BB20.10,Besser Block Half Control Joint 20.10,200 Series - Concrete Block,Each,1.36,Austral - Rochedale,,,2025-11-03
BB20.03,Besser Block Half 20.03,200 Series - Concrete Block,Each,1.15,Austral - Rochedale,,,2025-11-03
BB20.20,Besser Block Knockout Bond Beam 20.20,200 Series - Concrete Block,Each,2.04,Austral - Rochedale,,,2025-11-03
BB20.21,Besser Block Corner Bond Beam 20.21,200 Series - Concrete Block,Each,2.09,Austral - Rochedale,,,2025-11-03
DELFEEBNE,Brisbane,General,t,16.20,Austral - Rochedale,,,2025-11-03
