id,sys_type_id,deleted,parent_id,parent,parent$type,drive_id,folder_id,total,purchase_order_number,amount_still_to_be_invoiced,estimation_check,sub_total,tax,ted_task_id,ted_task,ted_task$type,supplier_id,supplier,supplier$type,total_with_allowance,product_package_id,product_package,product_package$type,construction_id,construction,construction$type,budget,xero_amount_paid,xero_supplier,xero_complete,xero_still_to_be_paid,xero_budget_diff,xero_paid_date,diff_po_with_allowance_versus_budget,xero_id,xero_total_with_allowance,diff_xero_and_total_but_not_complete,total_allowance_xero_paid,part_payment,xero_amount_paid_exc_gst,ld_versus_xero_paid,sams_notes
54167,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W4UT3NDJNZZXFB3ERXPVSM3WF75,6929.463,PO-054167,,true,6929.463,0,611,Req PLSL (QLeave),127,273,PLSL,16,6929.463,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,6734.5384,0,,,0,0,,194.9246,,54167,6929.463,6929.463,,,6734.5384,
54073,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W4QFCSKR7QKCVGIT5MIQELFJEHJ,18055.95,PO-054073,,true,16414.5,1641.45,411,Req Plaster Board,99,274,PLASTER BOARD,16,18055.95,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,18055.95,0,,,0,0,,0,,54073,18055.95,18055.95,,,18055.95,
54085,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W7RG5HUMGBQTBALF4SR3OEU452N,654.5,PO-054085,,true,595,59.5,421,Req Pre Paint (Including Sanding),99,274,PLASTER BOARD,16,654.5,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,654.5,0,,,0,0,,0,,54085,654.5,654.5,,,654.5,
54056,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W62RR2CWJTMQFEJHT2KOOX5G5RU,8309.07,PO-054056,,true,7553.7,755.37,397,Req Painter External House,99,276,PAINTER,16,8309.07,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,8309.07,0,,,0,0,,0,,54056,8309.07,8309.07,,,8309.07,
54094,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W73GGO7FRU2DNGZEHBZPREMZ25T,8897.46,PO-054094,,true,8088.6,808.86,400,Req Painter Internal  House,99,276,PAINTER,16,8897.46,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,8897.46,0,,,0,0,,0,,54094,8897.46,8897.46,,,8897.46,
54122,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6WYUL6A4DJF3KNHIF2RCNMLW3BWZ,8294,PO-054122,,true,7540,754,301,Req Driveway Concretor,99,304,DRIVEWAY,16,8294,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,8294,0,,,0,0,,0,,54122,8294,8294,,,8294,
54204,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W66VKKSXS6VUVAYXBYSAJ273H6Y,21197,PO-054204,,false,19270,1927,280,Req Concretor to Pour Slab Wafflepod,99,311,CONCRETOR,16,21197,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,21197,0,,false,21197,0,,0,,54204,21197,21197,false,,21197,Waiting on Slab
54207,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W5FADAZD3UXMNA3JEVPDRHQQHZX,4675,PO-054207,,false,4250,425,271,Req Concrete Pump for Wafflepod,99,312,CONCRETE PUMPING,16,4675,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,4675,0,,false,4675,0,,0,,54207,4675,4675,false,,4675,Waiting on Slab
54205,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W5OTYPJ2PEJ7NCZXFZRL653HPH7,34848,PO-054205,,false,31680,3168,267,Req Concrete for Wafflepod,99,314,CONCRETE,16,34848,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,34848,0,,false,34848,0,,0,,54205,34848,34848,false,,34848,Waiting on Slab
54119,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W25OU4VCGFCE5HKO2REOVNLUQIU,224.9995,PO-054119,,true,204.545,20.4545,534,Req OHSE WHSE House,99,496,All Industry Safety QLD (AIS),16,224.9995,,,,90,"Lot 0 (56a) Malbon street, Eight Mile Plains, QLD",15,224.9995,0,,,0,0,,0,,54119,224.9995,224.9995,,,224.9995,
