code,description,status,unit,range,range$type,lead_time,has_file,tax_rate_id,tax_rate,code_description,profile,delivery_confirmation,price,default_supplier,req_multi_colour,req_profile,req_specification,boq_only,default_supplier_id,specification_image_ok,req_product_colour_image,category_id,category
SHD21920,Barrier Screen Hinged Door 2100 X 920,Active,each,,,0,,1,GST,SHD21920 : Barrier Screen Hinged Door 2100 X 920,FALSE,0,256.0364,Lovering Installations QLD,TRUE,FALSE,FALSE,TRUE,240,FALSE,FALSE,186,TURN KEY
FGHD21920,Barrier Screen Fireguard Hinged Door 2100 X 920,Active,each,,,0,,1,GST,FGHD21920 : Barrier Screen Fireguard Hinged Door 2100 X 920,FALSE,0,0.0091,Lovering Installations QLD,TRUE,FALSE,FALSE,TRUE,240,FALSE,FALSE,186,TURN KEY
EFRWOJ,Extra Flat Rate Wet Area Only Job,Active,Each,,,5,,1,GST,EFRWOJ : Extra Flat Rate Wet Area Only Job,,2,500,Alex Wang Pty Ltd,FALSE,FALSE,FALSE,TRUE,244,,FALSE,238,TILER
1440PROBELSCK,Trade Pro Bela Lockset Satin Chrome,Active,Each,Trade Pro Bela - Gainsborough,71,5,,1,GST,1440PROBELSCK : Trade Pro Bela Lockset Satin Chrome,,2,37.8545,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,FALSE,299,,TRUE,180,DOOR FURNITURE
1450PROCASSC,Trade Pro Cass Rnd DCYL DEADBOLT SC,Active,Each,Trade Pro Cass - Gainsborough,71,5,,1,GST,1450PROCASSC : Trade Pro Cass Rnd DCYL DEADBOLT SC,,2,56.89,Keeler Hardware,TRUE,FALSE,FALSE,FALSE,299,,FALSE,180,DOOR FURNITURE
123710500,Phoenix Lexi MKII Sink Mixer with Pull Out Spray,Active,Each,Pull Out Sink Mixer - Methven,71,5,,1,GST,123710500 : Phoenix Lexi MKII Sink Mixer with Pull Out Spray,FALSE,2,390.8909,Harvey Norman Commercial QLD,FALSE,FALSE,TRUE,FALSE,231,TRUE,TRUE,236,PLUMBING FITOFF GEAR
ZEROBOUND,Zerobound - 2700 X 600 X 14mm (1.62m2) - Standard Accessories Included,Active,Sqm,,,0,,1,GST,ZEROBOUND : Zerobound - 2700 X 600 X 14mm (1.62m2) - Standard Accessories Included,,0,,,FALSE,FALSE,FALSE,TRUE,298,,FALSE,181,EXTERNAL CLADDING
FIREZONE,Firezone - 2700 X 600 X 22mm (1.62m2) - Standard Accessories Included,Active,Sqm,,,0,,1,GST,FIREZONE : Firezone - 2700 X 600 X 22mm (1.62m2) - Standard Accessories Included,,0,35,EXTERNAL CLADDING,FALSE,FALSE,FALSE,TRUE,298,,FALSE,181,EXTERNAL CLADDING
ZEROFIREDEL,Zerobound or Firezone Delivery,Active,Each,,,0,,1,GST,ZEROFIREDEL : Zerobound or Firezone Delivery,,0,200,EXTERNAL CLADDING,FALSE,FALSE,FALSE,TRUE,298,,FALSE,181,EXTERNAL CLADDING
PMAD7CLEAR,PMAD 7 2040 X 820 X 40 Clear,Active,Each,PMAD7 - Corinthian,71,0,,1,GST,PMAD7CLEAR : PMAD 7 2040 X 820 X 40 Clear,,0,275,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,FALSE,135,ENTRY DOORS
