code,description,status,unit,range,range$type,lead_time,has_file,tax_rate_id,tax_rate,code_description,profile,delivery_confirmation,price,default_supplier,req_multi_colour,req_profile,req_specification,boq_only,default_supplier_id,specification_image_ok,req_product_colour_image,category_id,category
DPP,Wiring of Double Power Point ,Active,Each,,,5,,1,GST,DPP : Wiring of Double Power Point ,,2,51,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WEF,Wiring of Exhaust Fan including Supply Fan 250mm,Active,Each,,,5,,1,GST,WEF : Wiring of Exhaust Fan including Supply Fan 250mm,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WLP,Wiring of Light Point,Active,Each,,,5,,1,GST,WLP : Wiring of Light Point,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
ILF,Install Light Fittings,Active,Each,,,5,,1,GST,ILF : Install Light Fittings,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
TP,Telephone point,Active,Each,,,5,,1,GST,TP : Telephone point,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
SPP,Wiring of Single Power Point,Active,Each,,,5,,1,GST,SPP : Wiring of Single Power Point,,2,50,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
ODPP,Waterproof double power point,Active,Each,,,5,,1,GST,ODPP : Waterproof double power point,,2,69,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,Active,Each,,,5,,1,GST,SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WTV,Wiring of TV point,Active,Each,,,5,,1,GST,WTV : Wiring of TV point,,2,58,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WTWS,Wiring of Two way switch,Active,Each,,,5,,1,GST,WTWS : Wiring of Two way switch,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
SITEWKS,Rock retaining as Quoted,Active,POA,,,5,,1,GST,SITEWKS : Rock retaining as Quoted,,2,1,,FALSE,FALSE,FALSE,TRUE,256,,FALSE,209,SITE WORKS
SITEWKS1,Site cut as Directed,Active,hours,,,5,,1,GST,SITEWKS1 : Site cut as Directed,,2,110,,FALSE,FALSE,FALSE,TRUE,256,,FALSE,209,SITE WORKS
CCMIN,Cutting min Charge,Active,Each,,,14,,1,GST,CCMIN : Cutting min Charge,,2,170,Logan Concrete Sawing and Drilling,FALSE,FALSE,FALSE,TRUE,313,,FALSE,105,CONCRETE CUTTING
POOLAPOQUO,Pool as per Quote,Active,Each,,,5,,1,GST,POOLAPOQUO : Pool as per Quote,,2,1,POOL,FALSE,FALSE,FALSE,TRUE,271,,FALSE,230,POOL
CRUSHERDUST,Crusher Dust,Active,M3,,,5,,1,GST,CRUSHERDUST : Crusher Dust,,2,333.83,Jopa Queensland,FALSE,FALSE,FALSE,TRUE,282,,FALSE,145,LANDSCAPING
DRI,Document Registration New Dwelling - Ipswich,Active,Each,,,0,,1,GST,DRI : Document Registration New Dwelling - Ipswich,,0,120,Fluid Building Approvals,FALSE,FALSE,FALSE,TRUE,268,,FALSE,106,PRIVATE CERTIFIER
DRCB,Document Registration Commercial - Brisbane,Active,Each,,,0,,1,GST,DRCB : Document Registration Commercial - Brisbane,,0,137,Fluid Building Approvals,FALSE,FALSE,FALSE,TRUE,268,,FALSE,106,PRIVATE CERTIFIER
PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),Active,Each,,,0,,1,GST,PDSSI : Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),,0,74,Fluid Building Approvals,FALSE,FALSE,FALSE,TRUE,268,,FALSE,106,PRIVATE CERTIFIER
BPBDELV,Brisbane post and beams delv,Active,Each,,,5,,1,GST,BPBDELV : Brisbane post and beams delv,,2,35,Harvey's Mechanical & Welding Services Pty Ltd,FALSE,FALSE,FALSE,TRUE,250,,FALSE,187,STEEL
PSTSTIR,Post stirups as quoted,Active,Each,,,5,,1,GST,PSTSTIR : Post stirups as quoted,,2,45,Harvey's Mechanical & Welding Services Pty Ltd,FALSE,FALSE,FALSE,TRUE,250,,FALSE,187,STEEL
SITEWELD,Site work as directed,Active,Each,,,5,,1,GST,SITEWELD : Site work as directed,,2,82,Harvey's Mechanical & Welding Services Pty Ltd,FALSE,FALSE,FALSE,TRUE,250,,FALSE,187,STEEL
BSACONTRAT,BSA One Pack Contract Kit,Active,Each,,,5,,1,GST,BSACONTRAT : BSA One Pack Contract Kit,,2,10,PRELIM,FALSE,FALSE,FALSE,TRUE,270,,FALSE,215,PRELIM
HQ,Hire equipment as requested,Active,Each,,,5,,1,GST,HQ : Hire equipment as requested,,2,1,Dinkum Dunnies,FALSE,FALSE,FALSE,TRUE,290,,FALSE,193,HIRE
WS99,Wet Seal Square 900 X 900,Active,Each,,,5,,1,GST,WS99 : Wet Seal Square 900 X 900,,2,250,Wayke Waterproofing. Ware,FALSE,FALSE,FALSE,TRUE,234,,,210,WET SEAL
QHOP,Quote for Hang-on Platform,Active,Each,,,5,,1,GST,QHOP : Quote for Hang-on Platform,,2,1,SCAFFOLD,FALSE,FALSE,FALSE,TRUE,262,,FALSE,138,SCAFFOLD
QP111,Quad Pine 11 X 11,Active,lm,,,14,,1,GST,QP111 : Quad Pine 11 X 11,,2,1.0818,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
QP1818,Quad Pine 18 X 18 Primed LOSP H3,Active,lm,,,14,,1,GST,QP1818 : Quad Pine 18 X 18 Primed LOSP H3,,2,1.1909,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP4211,Square Dressed Pine 42 X 11,Active,lm,,,14,,1,GST,SDP4211 : Square Dressed Pine 42 X 11,,2,1.0636,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP4218,Square Dressed Pine 42 X 18,Active,lm,,,14,,1,GST,SDP4218 : Square Dressed Pine 42 X 18,,2,1.4,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP6618,Square Dressed Pine 66 X 18,Active,lm,,,14,,1,GST,SDP6618 : Square Dressed Pine 66 X 18,,2,2.7091,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP9318,Square Dressed Pine 93 X 18,Active,lm,,,14,,1,GST,SDP9318 : Square Dressed Pine 93 X 18,,2,3.23,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
MGP107035,Pine 70 X 35 MGP10,Active,lm,,,10,,1,GST,MGP107035 : Pine 70 X 35 MGP10,,2,1.8636,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
MGP109035,Pine 90 X 35 MGP10,Active,lm,,,10,,1,GST,MGP109035 : Pine 90 X 35 MGP10,,2,2.0455,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
MGP1019035,Pine 190 X 35 MGP10,Active,lm,,,10,,1,GST,MGP1019035 : Pine 190 X 35 MGP10,,2,5.6545,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
MGP127035,Pine 70 X 35 MGP12,Active,lm,,,10,,1,GST,MGP127035 : Pine 70 X 35 MGP12,,2,2.4636,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,Active,lm,,,10,,1,GST,DECKBAL9019 : Yellow Balau Batu 90 X 19 Decking Material,,2,4.2182,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
DECKM9019,Merbau 90 X 19 Decking Material,Active,lm,,,10,,1,GST,DECKM9019 : Merbau 90 X 19 Decking Material,,2,3.6636,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
CUSHSTOP,Door Stop Cushion,Active,Each,,,14,,1,GST,CUSHSTOP : Door Stop Cushion,,2,1.0545,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHR18,Wardrobe Hanging Rod 1800 X 19mm,Active,Each,,,14,,1,GST,WHR18 : Wardrobe Hanging Rod 1800 X 19mm,,2,8.3727,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHR36,Wardrobe Hanging Rod 3600 X 19mm,Active,Each,,,14,,1,GST,WHR36 : Wardrobe Hanging Rod 3600 X 19mm,,2,16.1,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHRE,Wardrobe Hanging Rod Ends,Active,pairs,,,14,,1,GST,WHRE : Wardrobe Hanging Rod Ends,,2,2.7545,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHRC,Wardrobe Hanging Rod Centres,Active,Each,,,14,,1,GST,WHRC : Wardrobe Hanging Rod Centres,,2,1.5,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,Active,Each,,,5,,1,GST,BNHG12100 : Bolt & Nut Hex Galv M12 X 100 each,,2,1.4364,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BNHG12130,Bolt & Nut Hex Galv M12 X 130 each,Active,Each,,,5,,1,GST,BNHG12130 : Bolt & Nut Hex Galv M12 X 130 each,,2,1.3364,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BNHG12140,Bolt & Nut Hex Galv M12 X 140 each,Active,Each,,,5,,1,GST,BNHG12140 : Bolt & Nut Hex Galv M12 X 140 each,,2,1.1636,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BNHG12150,Bolt & Nut Hex Galv M12 X 150 each,Active,Each,,,5,,1,GST,BNHG12150 : Bolt & Nut Hex Galv M12 X 150 each,,2,1.4636,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BCG12100,Bolt & Nut Cup Galv M12 X 100 each,Active,Each,,,5,,1,GST,BCG12100 : Bolt & Nut Cup Galv M12 X 100 each,,2,1,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BCG12130,Bolt & Nut Cup Galv M12 X 130 each,Active,Each,,,5,,1,GST,BCG12130 : Bolt & Nut Cup Galv M12 X 130 each,,2,1.1182,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BCG12140,Bolt & Nut Cup Galv M12 X 140 each,Active,Each,,,5,,1,GST,BCG12140 : Bolt & Nut Cup Galv M12 X 140 each,,2,1.1727,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
BCG12150,Bolt & Nut Cup Galv M12 X 150 each,Active,Each,,,5,,1,GST,BCG12150 : Bolt & Nut Cup Galv M12 X 150 each,,2,1.2273,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
480PBS,Gainsborough 60mm Backset Tubular Latch,Active,Each,,,5,,1,GST,480PBS : Gainsborough 60mm Backset Tubular Latch,,2,3.6273,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,FALSE,299,,TRUE,180,DOOR FURNITURE
480BCS,Gainsborough 60mm Backset Tubular Latch,Active,Each,,,5,,1,GST,480BCS : Gainsborough 60mm Backset Tubular Latch,,2,3.6273,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,299,,TRUE,180,DOOR FURNITURE
L12100,Lintel Ingal 100 X 100 - 1200mm,Active,Each,,,5,,1,GST,L12100 : Lintel Ingal 100 X 100 - 1200mm,,2,32.709,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L15100,Lintel Ingal 100 X 100 - 1500mm,Active,Each,,,5,,1,GST,L15100 : Lintel Ingal 100 X 100 - 1500mm,,2,40.8909,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L18100,Lintel Ingal 100 X 100 - 1800mm,Active,Each,,,5,,1,GST,L18100 : Lintel Ingal 100 X 100 - 1800mm,,2,49.0545,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L21100,Lintel Ingal 100 X 100 - 2100mm,Active,Each,,,5,,1,GST,L21100 : Lintel Ingal 100 X 100 - 2100mm,,2,72.7909,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L24100,Lintel Ingal 100 X 100 - 2400mm,Active,Each,,,5,,1,GST,L24100 : Lintel Ingal 100 X 100 - 2400mm,,2,65.4364,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L21150,Lintel Ingal 150 X 100 - 2100mm,Active,Each,,,5,,1,GST,L21150 : Lintel Ingal 150 X 100 - 2100mm,,2,93.9636,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L24150,Lintel Ingal 150 X 100 - 2400mm,Active,Each,,,5,,1,GST,L24150 : Lintel Ingal 150 X 100 - 2400mm,,2,107.3909,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L27150,Lintel Ingal 150 X 100 - 2700mm,Active,Each,,,5,,1,GST,L27150 : Lintel Ingal 150 X 100 - 2700mm,,2,120.8,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L30150,Lintel Ingal 150 X 100 - 3000mm,Active,Each,,,5,,1,GST,L30150 : Lintel Ingal 150 X 100 - 3000mm,,2,134.2364,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L33150,Lintel Ingal 150 X 100 - 3300mm,Active,Each,,,5,,1,GST,L33150 : Lintel Ingal 150 X 100 - 3300mm,,2,147.6545,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
L36150,Lintel Ingal 150 X 100 - 3600mm,Active,Each,,,5,,1,GST,L36150 : Lintel Ingal 150 X 100 - 3600mm,,2,161.0727,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
LF85900,Lintel Ingal Flat 85 X 900mm,Active,Each,,,5,,1,GST,LF85900 : Lintel Ingal Flat 85 X 900mm,,2,19.5818,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
LF851200,Lintel Ingal Flat 85 X 1200mm,Active,Each,,,5,,1,GST,LF851200 : Lintel Ingal Flat 85 X 1200mm,,2,26.0909,Bunnings,FALSE,FALSE,FALSE,TRUE,321,,FALSE,325,BRICK HARDWARE
FLRRD36922,Flooring GP Red Tongue 3600 X 900 X 22,Active,shts,,,10,,1,GST,FLRRD36922 : Flooring GP Red Tongue 3600 X 900 X 22,,2,50,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
PD420,Honeycomb Core 2040 X 420 X 35,Active,Each,Honeycomb - Corinthian,71,5,,1,GST,PD420 : Honeycomb Core 2040 X 420 X 35,FALSE,2,30,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,285,FALSE,FALSE,221,INTERNAL DOORS
PD520,Honeycomb Core 2040 X 520 X 35,Active,Each,Honeycomb - Corinthian,71,5,,1,GST,PD520 : Honeycomb Core 2040 X 520 X 35,FALSE,2,30,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,285,FALSE,FALSE,221,INTERNAL DOORS
PD620,Honeycomb Core 2040 X 620 X 35,Active,Each,Honeycomb - Corinthian,71,5,,1,GST,PD620 : Honeycomb Core 2040 X 620 X 35,FALSE,2,30,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,285,FALSE,FALSE,221,INTERNAL DOORS
PD920,Honeycomb Core 2040 X 920 X 35,Active,Each,Honeycomb - Corinthian,71,5,,1,GST,PD920 : Honeycomb Core 2040 X 920 X 35,FALSE,2,33.6,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,285,FALSE,FALSE,221,INTERNAL DOORS
NO.7GC,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Clear,Active,Each,,,10,,1,GST,NO.7GC : Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Clear,,2,190,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,300,,FALSE,135,ENTRY DOORS
NO.7GO,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Obscure,Active,Each,,,10,,1,GST,NO.7GO : Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Obscure,,2,193,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,300,,FALSE,135,ENTRY DOORS
PD720,Honeycomb Core 2040 X 720 X 35,Active,Each,Honeycomb - Corinthian,71,5,,1,GST,PD720 : Honeycomb Core 2040 X 720 X 35,FALSE,2,38.5,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,285,FALSE,FALSE,221,INTERNAL DOORS
PD820,Honeycomb Core 2040 X 820 X 35,Active,Each,Honeycomb - Corinthian,71,5,,1,GST,PD820 : Honeycomb Core 2040 X 820 X 35,FALSE,2,30,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,FALSE,285,FALSE,FALSE,221,INTERNAL DOORS
PBR,Painting to Ballustrade as required,Active,Sqm,,,5,,1,GST,PBR : Painting to Ballustrade as required,,2,40,PAINTER,FALSE,FALSE,FALSE,TRUE,276,,FALSE,100,PAINTER
PEB,Painting required to external Brickwork,Active,Sqm,,,5,,1,GST,PEB : Painting required to external Brickwork,,2,10,PAINTER,FALSE,FALSE,FALSE,TRUE,276,,FALSE,100,PAINTER
PH,Internal Walls upto 2.4 House 3 Coates,Active,Sqm,,,5,,1,GST,PH : Internal Walls upto 2.4 House 3 Coates,,2,32,MI Painting and Decorating Services Marko Lvanovic,FALSE,FALSE,FALSE,TRUE,276,,FALSE,100,PAINTER
KITCHQUOTE,Kitchen as per Quote,Active,Each,,,21,,1,GST,KITCHQUOTE : Kitchen as per Quote,,4,1,Tekna Admin,FALSE,FALSE,FALSE,TRUE,318,,FALSE,189,CABINET MAKER
PTB,Painter to Gable Timber Battens,Active,lm,,,5,,1,GST,PTB : Painter to Gable Timber Battens,,2,2.5,PAINTER,FALSE,FALSE,FALSE,TRUE,276,,FALSE,100,PAINTER
CWINS,Contract Works Insurance,Active,Each,,,5,,1,GST,CWINS : Contract Works Insurance,,2,1,Tekna Insurance,FALSE,FALSE,FALSE,TRUE,286,,FALSE,192,INSURANCE
ROOFTILE,Roof tiles as per quote,Active,Each,,,10,,1,GST,ROOFTILE : Roof tiles as per quote,,2,1,Joii Roofing,FALSE,FALSE,FALSE,TRUE,438,,FALSE,321,ROOF
CONBLEND,Concrete Blend,Active,M3,,,5,,1,GST,CONBLEND : Concrete Blend,,2,52,LANDSCAPING,FALSE,FALSE,FALSE,TRUE,282,,FALSE,145,LANDSCAPING
PEAGRAVEL,5mm Pea Gravel,Active,M3,,,5,,1,GST,PEAGRAVEL : 5mm Pea Gravel,,2,50,LANDSCAPING,FALSE,FALSE,FALSE,TRUE,282,,FALSE,145,LANDSCAPING
TILERALIANG,"Aluminium Angle Per House Mill Finish on Floor Bright Silver to Shower,Bath Hobs NA Niches",Active,Each,,,5,,1,GST,"TILERALIANG : Aluminium Angle Per House Mill Finish on Floor Bright Silver to Shower,Bath Hobs NA Niches",,2,120,Alex Wang Pty Ltd,FALSE,FALSE,FALSE,TRUE,244,,FALSE,238,TILER
TILERQUOTE,Tiling as Quoted,Active,Each,,,5,,1,GST,TILERQUOTE : Tiling as Quoted,,2,1,Alex Wang Pty Ltd,FALSE,FALSE,FALSE,TRUE,244,,FALSE,238,TILER
TRW,Std Rate Walls,Active,Sqm,,,5,,1,GST,TRW : Std Rate Walls,,2,60,Alex Wang Pty Ltd,FALSE,FALSE,FALSE,TRUE,244,,FALSE,238,TILER
TRWF,Std Rate Wet Floor Tiling up to 450mm Square or 600mm x 300mm,Active,Sqm,,,5,,1,GST,TRWF : Std Rate Wet Floor Tiling up to 450mm Square or 600mm x 300mm,,2,54,Alex Wang Pty Ltd,FALSE,FALSE,FALSE,TRUE,244,,FALSE,238,TILER
STAMPDUTY,Stamp Duty,Active,Each,,,5,,1,GST,STAMPDUTY : Stamp Duty,,2,1,LEGAL,FALSE,FALSE,FALSE,TRUE,253,,FALSE,194,LEGAL
WCFRESHWATER,Fresh water flush chemical toilet,Active,weeks,,,5,,1,GST,WCFRESHWATER : Fresh water flush chemical toilet,,2,47.5,Dinkum Dunnies,FALSE,FALSE,FALSE,TRUE,235,,FALSE,198,WC HIRE
RENCEMLOW,Solid cement render,Active,Sqm,,,5,,1,GST,RENCEMLOW : Solid cement render,,2,37,RENDER,FALSE,FALSE,FALSE,TRUE,267,,FALSE,160,RENDER
20MPA20100,N20 Mpa 20/100,Active,M3,,,5,,1,GST,20MPA20100 : N20 Mpa 20/100,,2,264,ReadyMix Concrete (Was Excel Concrete Pty Ltd),FALSE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
25MPA20100,N25 Mpa 20/100,Active,M3,,,5,,1,GST,25MPA20100 : N25 Mpa 20/100,,2,283,ReadyMix Concrete (Was Excel Concrete Pty Ltd),FALSE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
32MPA20100,N32 Mpa 20/100,Active,M3,,,5,,1,GST,32MPA20100 : N32 Mpa 20/100,,2,276,ReadyMix Concrete (Was Excel Concrete Pty Ltd),FALSE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
40MPA2080,N40 Mpa 20/80,Active,M3,,,5,,1,GST,40MPA2080 : N40 Mpa 20/80,,2,290,ReadyMix Concrete (Was Excel Concrete Pty Ltd),FALSE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
PLSL,Portable Long Service Leave,Active,/1000,,,5,,2,Tax Exempt,PLSL : Portable Long Service Leave,,2,1,PLSL,FALSE,FALSE,FALSE,TRUE,273,,FALSE,125,PLSL
FENPOOL,Pool Fencing as Quoted,Active,Each,,,5,,1,GST,FENPOOL : Pool Fencing as Quoted,,2,1,POOL,FALSE,FALSE,FALSE,TRUE,271,,FALSE,230,POOL
SIGNSBLD,Builders Signs,Active,Each,,,5,,1,GST,SIGNSBLD : Builders Signs,,2,1,PRELIM,FALSE,FALSE,FALSE,TRUE,270,,FALSE,215,PRELIM
DELVPRE,Delivery charge,Active,Each,,,14,,1,GST,DELVPRE : Delivery charge,,2,45.4545,Bunnings,FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
FIXOUTQUOTE,Fixout as per quote,Active,Each,,,14,,1,GST,FIXOUTQUOTE : Fixout as per quote,,2,1,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
BATTR1.5W,Supply and install R1.5 Wall Batts,Active,Sqm,,,10,,1,GST,BATTR1.5W : Supply and install R1.5 Wall Batts,,2,5.44,Austral Insulation,FALSE,FALSE,FALSE,TRUE,302,,FALSE,211,ENERGY RATING
BATTR2.5W,Supply and install R2.5 Wall Batts,Active,Sqm,,,10,,1,GST,BATTR2.5W : Supply and install R2.5 Wall Batts,,2,14.47,Austral Insulation,FALSE,FALSE,FALSE,TRUE,302,,FALSE,211,ENERGY RATING
PRELIMAGRRE,Preliminary Agreement Packs,Active,Each,,,5,,1,GST,PRELIMAGRRE : Preliminary Agreement Packs,,2,77,PRELIM,FALSE,FALSE,FALSE,TRUE,270,,FALSE,215,PRELIM
RESBUILDCON,Residential Building Contracts,Active,Each,,,5,,1,GST,RESBUILDCON : Residential Building Contracts,,2,9,PRELIM,FALSE,FALSE,FALSE,TRUE,270,,FALSE,215,PRELIM
RESBUILDSPEC,Residential Building Spec,Active,Each,,,5,,1,GST,RESBUILDSPEC : Residential Building Spec,,2,25,PRELIM,FALSE,FALSE,FALSE,TRUE,270,,FALSE,215,PRELIM
SEABCCBUILDLOG,Logan City Council Building Search - Logan,Active,Each,,,5,,1,GST,SEABCCBUILDLOG : Logan City Council Building Search - Logan,,2,59,SEARCHES,FALSE,FALSE,FALSE,TRUE,261,,FALSE,213,SEARCHES
SEABCCPLANLOG,Logan City Council Town Planning - Logan,Active,Each,,,5,,1,GST,SEABCCPLANLOG : Logan City Council Town Planning - Logan,,2,59,SEARCHES,FALSE,FALSE,FALSE,TRUE,261,,FALSE,213,SEARCHES
SEABCCRATESLOG,Logan City Council Rates Search - Logan,Active,Each,,,5,,1,GST,SEABCCRATESLOG : Logan City Council Rates Search - Logan,,2,59,SEARCHES,FALSE,FALSE,FALSE,TRUE,261,,FALSE,213,SEARCHES
SEABCCBUILD,Brisbane City Council Building Search - Brisbane,Active,Each,,,5,,1,GST,SEABCCBUILD : Brisbane City Council Building Search - Brisbane,,2,40,SEARCHES,FALSE,FALSE,FALSE,TRUE,261,,FALSE,213,SEARCHES
SEABCCRATES,Brisbane City Council Rates Search - Brisbane,Active,Each,,,5,,1,GST,SEABCCRATES : Brisbane City Council Rates Search - Brisbane,,2,40,SEARCHES,FALSE,FALSE,FALSE,TRUE,261,,FALSE,213,SEARCHES
SEABCCPLAN,Brisbane City Council Rates Planning - Brisbane,Active,Each,,,5,,1,GST,SEABCCPLAN : Brisbane City Council Rates Planning - Brisbane,,2,40,SEARCHES,FALSE,FALSE,FALSE,TRUE,261,,FALSE,213,SEARCHES
SJGPURCH,Professional costs purchase,Active,Each,,,5,,1,GST,SJGPURCH : Professional costs purchase,,2,500,LEGAL,FALSE,FALSE,FALSE,TRUE,253,,FALSE,194,LEGAL
SJGSALE,Professional costs-sale,Active,Each,,,5,,1,GST,SJGSALE : Professional costs-sale,,2,1,LEGAL,FALSE,FALSE,FALSE,TRUE,253,,FALSE,194,LEGAL
SJGSETTLE,Settlement notice,Active,Each,,,5,,1,GST,SJGSETTLE : Settlement notice,,2,1,LEGAL,FALSE,FALSE,FALSE,TRUE,253,,FALSE,194,LEGAL
FDG,Double gate set with hinges,Active,Each,,,5,,1,GST,FDG : Double gate set with hinges,,2,625,Joii Landscaping,FALSE,FALSE,FALSE,TRUE,296,,,144,FENCING
FSG,Single gate with hinges,Active,Each,,,5,,1,GST,FSG : Single gate with hinges,,2,258.5,Joii Landscaping,FALSE,FALSE,FALSE,TRUE,296,,,144,FENCING
S20MPA10150,S20 Mpa 10/150 Coremasta,Active,M3,,,5,,1,GST,S20MPA10150 : S20 Mpa 10/150 Coremasta,,2,190,ReadyMix Concrete (Was Excel Concrete Pty Ltd),FALSE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
S20MPA10150BF,S20 Mpa 10/150 Blockfill,Active,M3,,,5,,1,GST,S20MPA10150BF : S20 Mpa 10/150 Blockfill,,2,141,ReadyMix Concrete (Was Excel Concrete Pty Ltd),FALSE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
